,0,1,2,3,4,5,6
70,Mahébourg,Village Council Area,"15,753","15,176","15,443","15,426",
71,Mapou,Village Council Area,"1,187","1,529","1,555","1,560",
72,Mare d'Albert,Village Council Area,"4,424","4,666","4,749","4,743",
73,Mare La Chaux,Village Council Area,"1,885","1,925","1,967","1,971",
74,Mare Tabac,Village Council Area,"2,513","2,731","2,779","2,775",
75,Médine Camp de Masque,Village Council Area,"6,637","7,116","7,267","7,322",
76,Melrose,Village Council Area,"1,876","1,955","1,991","2,043",
77,Midlands,Village Council Area,...,...,"2,935","3,333",
78,Moka,Village Council Area,"8,286","8,846","9,061","9,364",
79,Montagne Blanche,Village Council Area,"8,116","9,053","9,221","9,440",
80,Morcellement St André,Village Council Area,"5,616","5,750","5,875","5,990",
81,New Grove ( incl. Mare Chicose ),Village Council Area,"9,593","10,843","11,035","11,023",
82,Notre Dame,Village Council Area,"3,615","4,216","4,307","4,391",
83,Nouvelle Decouverte,Village Council Area,...,...,"1,989","2,041",
84,Nouvelle France,Village Council Area,"6,691","7,165","7,292","7,283",
85,Old Grand Port,Village Council Area,"2,779","2,969","3,021","3,017",
86,Olivia,Village Council Area,"3,646","3,667","3,746","3,755",
87,Pamplemousses,Village Council Area,"8,069","9,295","9,497","9,682",
88,Petit Bel Air,Village Council Area,"1,139","1,186","1,207","1,205",
89,Petite Rivière,Village Council Area,"4,611","4,591","4,867","5,331",
90,Petit Raffray,Village Council Area,"8,403","9,254","9,399","9,410",
91,Piton,Village Council Area,"5,446","4,942","5,028","5,062",
92,Plaine des Papayes,Village Council Area,"6,956","7,607","7,773","7,925",
93,Plaine Magnien,Village Council Area,"9,963","10,443","10,628","10,615",
94,Plaines des Roches,Village Council Area,"3,888","4,020","4,084","4,089",
95,Pointe aux Piments,Village Council Area,...,...,"6,754","6,886",
96,Port-Louis ( incl. Pailles ),Municipal Council Area,"154,257","149,226","150,353","145,793",
97,Poste de Flacq,Village Council Area,"6,535","8,454","8,637","8,659",
98,Poudre d'Or,Village Council Area,"4,547","4,142","4,206","4,211",
99,Poudre d'Or Hamlet,Village Council Area,"2,102","2,335","2,371","2,373",
100,Providence,Village Council Area,"2,929","3,285","3,344","3,432",
101,Quartier Militaire,Village Council Area,"6,020","7,046","7,175","7,364",
102,Quatre-Bornes,Municipal Council Area,"75,884","75,613","77,536","77,084",
103,Quatre Cocos,Village Council Area,"5,244","5,872","6,000","6,016",
104,Quatre Soeurs,Village Council Area,"3,220","3,317","3,388","3,397",
105,Queen Victoria,Village Council Area,"2,771","2,898","2,960","2,967",
106,Richelieu,Village Council Area,"4,494","7,906","8,380","9,178",
107,Ripailles ( ← Nouvelle Decouverte ),Village Council Area,...,...,"1,089","1,116",
108,Rivière des Anguilles,Village Council Area,...,...,"4,705","4,675",
109,Rivière des Créoles,Village Council Area,"2,965","3,066","3,120","3,116",
110,Rivière du Poste,Village Council Area,"2,108","2,170","2,203","2,196",
111,Rivière du Rempart,Village Council Area,"10,761","10,825","10,994","11,009",
112,Roches Noires,Village Council Area,"5,284","5,683","5,772","5,778",
113,Roche Terre,Village Council Area,"2,949","3,162","3,212","3,215",
114,Rose Belle,Village Council Area,"11,665","12,035","12,247","12,232",
115,Sébastopol,Village Council Area,"5,263","5,553","5,674","5,689",
116,Seizieme Mille ( ← Midlands ),Village Council Area,...,...,"2,974","3,381",
117,Souillac,Village Council Area,"4,154","4,411","4,463","4,434",
118,St. Aubin,Village Council Area,"1,569","1,346","1,362","1,350",
119,St. Hubert,Village Council Area,"3,855","3,153","3,210","3,206",
120,St. Julien ( Haut de Flacq ),Village Council Area,"2,921","2,676","2,734","2,741",
121,St. Julien d'Hotman,Village Council Area,"3,055","3,361","3,432","3,443",
122,St. Pierre,Village Council Area,"15,382","15,982","16,271","16,704",
123,Surinam,Village Council Area,"10,045","10,507","10,631","10,564",
124,Tamarin,Village Council Area,"3,256","3,766","3,991","4,371",
125,Terre Rouge,Village Council Area,"8,736","10,760","10,994","11,210",
126,The Vale,Village Council Area,"3,417","3,840","3,900","3,905",
127,Triolet,Village Council Area,"21,250","23,386","23,894","24,361",
128,Trois Boutiques,Village Council Area,...,...,"5,018","5,012",
129,Trou aux Biches ( ← Pointe aux Piments ),Village Council Area,...,...,"2,536","2,573",
130,Trou d'Eau Douce,Village Council Area,"5,190","5,672","5,795","5,809",
131,Tyack ( ← Rivière des Anguilles ),Village Council Area,...,...,"4,648","4,618",
132,Union Park,Village Council Area,"3,788","4,907","4,994","4,988",
133,Vacoas/Phoenix,Municipal Council Area,"100,066","105,559","106,444","105,688",
134,Verdun,Village Council Area,"2,069","2,181","2,222","2,282",
135,Villebague,Village Council Area,"2,353","2,306","2,368","2,399",
136,Mauritius,Island,"1,143,069","1,196,383","1,219,265","1,221,921",
