COU,Country,MEAS,Measure,Large subnational region,Small subnational region,VAR,Variable,Year,Unit Code,Unit,Value
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,135.2844
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.215960526
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.33272685
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.446287297
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.513982805
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.113560447
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.181255955
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.067695509
BEN,Benin,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.116766324
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,68.9697
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,141.3567
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,220.1616
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,254.1015
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,78.8049
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,112.7448
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,33.9399
BWA,Botswana,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,72.387
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.011870508
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.024329174
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.037892438
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.043733899
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.013563263
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.019404725
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.005841462
BWA,Botswana,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.012458666
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,146.1663
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,178.2594
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,282.1356
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,346.5495
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,103.8762
BFA,Burkina Faso,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,168.2901
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.053180711
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.064857369
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.102651376
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.126087537
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.037794007
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.061230168
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.023436161
BFA,Burkina Faso,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.011676658
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,26.8767
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,37.8684
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,60.1155
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,74.4984
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,22.2471
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,36.63
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,14.3829
BDI,Burundi,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,10.9917
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.107167243
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.150995175
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.239702508
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.297052397
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.088707333
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.146057221
BDI,Burundi,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.057349888
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,270.6219
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,448.4241
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,626.2578
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,700.9281
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,177.8337
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,252.504
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,74.6703
CMR,Cameroon,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,177.8022
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.05798518
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.096082217
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.134186004
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.15018534
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.038103787
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.054103123
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.015999336
CMR,Cameroon,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.038097037
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,16.7067
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,16.7067
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,16.7067
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,17.8515
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,0
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,1.1448
CPV,Cabo Verde,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,1.1448
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.441193073
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.441193073
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.441193073
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.471425125
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.030232052
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.030232052
CPV,Cabo Verde,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0
CAF,Central African Republic,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,79.3053
CAF,Central African Republic,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,92.4867
CAF,Central African Republic,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,128.5902
CAF,Central African Republic,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,146.2032
CAF,Central African Republic,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,17.613
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.012726563
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.014841855
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.020635585
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.023462041
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.005793729
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.008620186
CAF,Central African Republic,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.002826456
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,99.9549
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,117.0108
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,156.8628
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,178.1955
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,39.852
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,61.1847
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,21.3327
TCD,Chad,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,17.0559
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.007865471
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.009207604
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.012343566
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.01402224
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.003135962
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.004814637
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.001678675
TCD,Chad,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.001342132
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,18.5931
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,18.5931
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,18.5931
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,31.572
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,0
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,12.9789
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,12.9789
COM,Comoros,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,0
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,1.139709432
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,1.139709432
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,1.139709432
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.935282776
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.795573344
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.795573344
COM,Comoros,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0
COG,Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,31.1031
COG,Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,73.6794
COG,Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,42.5763
COG,Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,19.431
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.033935622
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.039634674
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.048757116
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.061244612
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.009122442
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.021609938
COG,Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.012487496
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,620.6886
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,773.712
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,986.9598
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,1171.3599
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,213.2478
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,397.6479
CIV,Côte d'Ivoire,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,153.0234
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.19266457
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.24016373
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.306356819
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.363595451
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.066193089
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.12343172
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.057238631
CIV,Côte d'Ivoire,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.047499161
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,869.1039
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,1155.609
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,1641.9258
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,2025.9846
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,486.3168
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,870.3756
COD,Democratic Republic of the Congo,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,286.5051
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.037652258
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.050064542
COD,Democratic Republic of the Congo,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.071133283
