COU,Country,MEAS,Measure,Large subnational region,VAR,Variable,Year,Unit Code,Unit,Value
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.224104967
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,34.7643
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,50.9211
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,73.6155
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,86.9571
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,22.6944
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,36.036
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,13.3416
DZA,Algeria,SQKM,Square kilometers,Tizi Ouzou,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,16.1568
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,1.174074733
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,1.719729057
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,2.486173991
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,2.936752184
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.766444934
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,1.217023126
DZA,Algeria,PCNT,Percent of total land area,Tizi Ouzou,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.545654325
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,7.2081
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,21.6243
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,34.5582
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,43.623
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,12.9339
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,21.9987
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,9.0648
DZA,Algeria,SQKM,Square kilometers,Relizane,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,14.4162
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.147786042
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.443358125
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.708538948
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.894392489
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.265180822
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.451034364
DZA,Algeria,PCNT,Percent of total land area,Relizane,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.185853541
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,7.5168
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,15.921
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,21.1554
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,25.569
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,5.2344
DZA,Algeria,SQKM,Square kilometers,Saida,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,9.648
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.110898323
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.234888809
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.312113982
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.377229568
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.077225173
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.142340759
DZA,Algeria,PCNT,Percent of total land area,Saida,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.065115586
DZA,Algeria,SQKM,Square kilometers,Ouargla,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,29.7522
DZA,Algeria,SQKM,Square kilometers,Ouargla,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,50.2938
DZA,Algeria,SQKM,Square kilometers,Ouargla,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,60.3603
DZA,Algeria,SQKM,Square kilometers,Ouargla,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,68.1642
DZA,Algeria,SQKM,Square kilometers,Ouargla,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,20.5416
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.019210695
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.032474198
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.038974035
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.044012935
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.006499837
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.011538737
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.005038899
DZA,Algeria,PCNT,Percent of total land area,Ouargla,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.013263503
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,5.0166
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,11.5425
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,14.6088
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,18.4347
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,3.0663
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,6.8922
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,3.8259
DZA,Algeria,SQKM,Square kilometers,Naama,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,6.5259
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.016892011
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.038866172
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.049191088
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.062073747
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.012882659
DZA,Algeria,PCNT,Percent of total land area,Naama,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.021974161
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,21.3228
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,42.6339
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,62.4249
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,76.707
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,14.2821
DZA,Algeria,SQKM,Square kilometers,Mascara,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,21.3111
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.375002236
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.749798705
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,1.097861306
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.349039361
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.348062602
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.599240657
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.251178055
DZA,Algeria,PCNT,Percent of total land area,Mascara,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.374796469
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,6.0624
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,25.7796
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,38.5416
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,45.4041
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,12.762
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,19.6245
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,6.8625
DZA,Algeria,SQKM,Square kilometers,Oum El Bouaghi,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,19.7172
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.096626452
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.410891936
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.614300944
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.723679907
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.203409009
DZA,Algeria,PCNT,Percent of total land area,Oum El Bouaghi,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.312787971
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,5.085
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,10.0602
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,12.6747
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,15.3909
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,2.6145
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,5.3307
DZA,Algeria,SQKM,Square kilometers,El Bayadh,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,4.9752
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.00707233
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.013991947
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.017628251
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.021406002
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.003636304
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.007414055
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.003777751
DZA,Algeria,PCNT,Percent of total land area,El Bayadh,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.006919617
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,7.515
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,22.959
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,30.3318
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,37.6551
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,7.3728
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,14.6961
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,7.3233
DZA,Algeria,SQKM,Square kilometers,Ain-Defla,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,15.444
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.165109268
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.504423643
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.666408688
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.827306186
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.161985044
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.322882543
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.160897498
DZA,Algeria,PCNT,Percent of total land area,Ain-Defla,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.339314375
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,1.5768
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,9.9576
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,19.4931
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,24.0012
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,9.5355
DZA,Algeria,SQKM,Square kilometers,Souk-Ahras,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,14.0436
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.037265131
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.235331853
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.460688052
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.567229742
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.225356199
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.331897888
DZA,Algeria,PCNT,Percent of total land area,Souk-Ahras,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.10654169
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,3.1023
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,10.7739
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,17.7129
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,23.1795
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,6.939
DZA,Algeria,SQKM,Square kilometers,Guelma,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,12.4056
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.084001524
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.291726788
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.479615313
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.627635405
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.187888525
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.335908616
DZA,Algeria,PCNT,Percent of total land area,Guelma,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.148020091
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,10.9872
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,32.1066
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,44.7777
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,53.8605
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,12.6711
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,21.7539
DZA,Algeria,SQKM,Square kilometers,Chlef,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,21.1194
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.27121548
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.792541041
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,1.105323048
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.32952903
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.312782007
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.536987989
DZA,Algeria,PCNT,Percent of total land area,Chlef,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.521325561
DZA,Algeria,SQKM,Square kilometers,Mostaganem,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,21.8988
DZA,Algeria,SQKM,Square kilometers,Mostaganem,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,34.6185
