Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,DZ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,14541.42725,15334.78072,13985.26629,13645.17207,13582.77631,13650.10541,8232.957349,9450.81592,8436.084581,10259.22119,14467.52502,13345.63063,12194.94324,10807.22541,9771.296547,11325.41799,14148.22946,14665.36354,10829.26165,13258.94983,23050.81863,20085.47562,20152.6319,25957.11997,34405.28599,49704.79552,57938.3791,63531.35409,82034.75229,48533.79875,61975.4192,77581.31771,77123.04053,69659.42239,64611.48839,38460.33741,33403.11736,37928.13899,45363.22462,47038.88404,48284.34138
DZA,Algeria,DZ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,12856.97534,13688.97148,13116.3998,12588.95757,12352.68503,11826.64386,10803.39067,8224.31718,13433.04981,15911.80197,15529.99662,10737.58316,11196.68805,11528.0098,12108.41879,12854.9159,11203.87807,10636.41751,11591.95764,11085.42537,11364.63291,12053.06611,14547.47189,16203.1294,22031.52454,-25348.13624,26018.61444,33568.76079,49096.04415,49331.0315,50654.74342,57376.12347,59612.00845,63767.46287,68262.38303,60621.174,56097.08488,56133.46548,60510.57324,61505.25708,62752.89707
DZA,Algeria,DZ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,56.94215509,59.28456908,61.37916255,61.89401968,64.35150706,60.40606508,72.33427606,69.34436462,91.37736131,84.09377238,72.81531834,63.47330366,68.21308769,73.1542011,74.04966438,71.37736386,68.5059617,67.98744328,72.78949901,68.09444402,55.15167681,58.61833296,59.47187185,55.28952209,52.32496614,45.21567583,42.93932469,43.33222851,43.38932196,53.70455273,51.5472392,51.84330354,52.46560555,53.80042875,56.15310841,62.57325396,63.79449252,62.46154302,60.75620536,60.64689942,60.43709716
DZA,Algeria,DZ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,13.75446184,13.76187381,14.90968177,15.24251446,15.3349764,14.9482757,18.27881123,18.89199788,21.31625529,17.70259119,16.24579424,14.86910287,17.19224095,18.59248111,17.74497541,16.64357929,15.77434788,16.54186074,17.79196801,16.7168585,13.58180363,14.80929125,15.4865223,14.8039133,13.77109724,11.4517107,11.23209455,11.64344749,13.20658752,16.14528186,17.22674504,20.66746522,20.31803429,19.14274811,19.79074873,21.55995624,20.87262464,19.2375529,18.62582413,17.85960171,17.7598002
DZA,Algeria,DZ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,43.18769325,45.52269527,46.46948078,46.65150522,49.01653066,45.45778937,54.05546484,50.45236674,70.06110602,66.39118119,56.56952411,48.60420079,51.02084674,54.56171999,56.30468897,54.73378457,52.73161382,51.44558254,54.99753099,51.37758552,41.56987318,43.80904171,43.98534954,40.4856088,38.5538689,33.76396514,31.70723014,31.68878102,30.18273444,37.55927088,34.32049417,31.17583832,32.14757126,34.65768064,36.36235968,41.01329772,42.92186788,43.22399012,42.13038123,42.7872977,42.67729696
DZA,Algeria,DZ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,39.08430854,36.99006197,37.61120409,38.58364447,36.04533612,31.48264008,34.32869216,30.58114041,32.08312632,32.20012399,28.8991649,30.93903763,29.75816724,28.25842292,31.46078215,32.25472798,25.22183595,23.64921382,28.79006103,27.34479502,23.52142389,26.67616649,30.65294069,30.33668541,33.27169382,31.65049049,30.16962474,34.46952282,37.34840155,46.87647393,41.43033193,38.0550642,39.15827808,43.39059915,45.55443334,50.77923684,50.37753688,48.40388279,47.5961372,47.07167269,47.03226045
DZA,Algeria,DZ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,,,,,,,,,,,15.17677108,24.91513621,23.00176961,19.7185213,21.61045775,22.95374363,19.70202922,15.18692192,19.65981368,20.51288045,15.71500279,18.20231659,20.61781475,22.20256505,25.43919323,10.76116677,10.25767241,10.61661303,11.05512686,14.67233634,14.16917352,12.82455664,14.41024633,16.44503708,16.21737827,18.13655058,18.04248473,17.75379277,15.59254127,15.31874293,15.70961846
DZA,Algeria,DZ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,,,,,,,,,,,13.72239382,6.023901423,6.756397627,8.539901619,9.8503244,9.300984352,5.519806736,8.462291893,9.130247346,6.831914572,7.806421106,8.4738499,10.03512593,8.134120361,7.832500587,20.88932372,19.91195233,23.85290979,26.29327469,32.20413759,27.26115841,25.23050757,24.74803175,26.94556207,29.33705507,32.64268626,32.33505215,30.65009002,32.00359593,31.75292976,31.32264199
DZA,Algeria,DZ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,34.33969306,34.55977584,31.23106629,28.70915934,26.36777632,22.32887499,13.37924948,14.93029388,16.32868757,19.51970286,23.3753564,28.59583388,24.77807941,21.20615177,23.03159107,26.922997,30.14013287,30.4400451,22.47313514,27.14490617,42.06697544,36.77190171,35.50579314,38.25124226,40.04853621,47.20936722,48.81063187,47.06818206,47.97322572,35.37164157,38.44452234,38.78695412,36.89054758,33.20989789,30.21911743,23.1733716,20.85972675,22.63652786,25.01356515,25.09772266,24.92667688
DZA,Algeria,DZ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,30.36184682,30.8506391,29.29076524,26.48690591,23.97984244,19.34605223,17.55642023,12.99268481,26.00069633,30.27458328,25.09200471,23.00754104,22.7497923,22.62048919,28.54034249,30.55894825,23.86774788,22.07739535,24.05589957,22.69507279,20.74007614,22.06640115,25.63037572,23.87744977,25.64519617,-24.07553354,21.91958131,24.86993339,28.71094923,35.95266823,31.42209347,28.68532186,28.51443121,30.40092579,31.92665917,36.5258624,35.03175615,33.50195367,33.36590771,32.81629477,32.39603449
DZA,Algeria,DZ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,4207.220849,6164.545673,608.283011,-729.3049606,407.9640914,2006.918342,-2666.388452,-2184.817892,-3893.163946,-1006.101225,2250.625872,1952.57944,525.5462675,-3267.680445,-622.0086141,181.2097434,1820.252425,1457.812744,-1840.923407,-970.5263158,5298.977675,1867.202219,272.3328635,3250.855998,4555.391804,14277.95647,16064.94112,6592.353563,14042.43854,-9815.903066,-996.1554137,-873.3458813,-9371.134858,357.8250286,-15582.75407,-25323.64388,-21674.45661,-10867.13722,-9526.543363,-9301.159692,-9007.332391
DZA,Algeria,DZ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,16047.89502,18932.9531,16732.52659,17187.51417,19339.44839,22765.1987,19166.80521,18816.8023,13886.03331,14497.26144,17884.43773,14745.84529,14508.14381,13711.71557,12383.72458,12606.15152,15071.63601,16058.15586,13185.63476,14628.27068,20968.69776,19111.36389,20120.00216,25510.69191,31147.36923,42922.98481,50819.72249,57788.45254,67424.85462,50600.56047,59054.13632,79383.98724,81763.3451,75288.14994,71220.7748,50706.71686,45791.0597,55716.6164,62940.89845,64640.662,66296.62215
DZA,Algeria,DZ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,11840.67417,12768.40743,16124.24358,17916.81913,18931.4843,20758.28035,21833.19366,21001.62019,17779.19726,15503.36267,15633.81186,12793.26585,13982.59755,16979.39602,13005.73319,12424.94178,13251.38359,14600.34311,15026.55816,15598.79699,15669.72009,17244.16167,19847.6693,22259.83591,26591.97743,28645.02834,34754.78137,46628.49028,66327.25741,60416.46354,60050.29173,80257.33312,91134.47996,74930.32492,86803.52888,76030.36074,67465.51632,66583.75362,72467.44181,73941.82169,75303.95454
DZA,Algeria,DZ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,9.935384615,13.89294835,1.358381503,-1.534442528,0.791966654,3.282921811,-4.33310593,-3.451551007,-7.535516879,-1.91425807,3.636363636,4.18381408,1.067821875,-6.4119073,-1.466115369,0.4307752158,3.87770428,3.025897418,-3.820326984,-1.986948146,9.670457577,3.418419247,0.4798080154,4.790565383,5.302579775,13.56113194,13.53403287,4.884046659,8.211898678,-7.153872433,-0.6179340059,-0.4366312358,-4.482529397,0.170591892,-7.288132294,-15.25816594,-13.53536071,-6.485798171,-5.252995462,-4.962658684,-4.650014014
DZA,Algeria,DZ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,37.89722837,42.66892542,37.36608487,36.16217373,37.54300576,37.23936632,31.14767363,29.72657499,26.87748059,27.58320835,28.8961039,31.59608969,29.47811503,26.90539991,29.18925642,29.96758089,32.10727626,33.33098338,27.3631353,29.9483021,38.26717428,34.98852641,35.44830462,37.59337159,36.25624693,40.76803718,42.81346501,42.81346501,39.42948177,36.87790641,36.63239543,39.6882028,39.11016153,35.89337502,33.31031386,30.55213947,28.59580388,33.25316699,34.7060042,34.48919847,34.22547417
DZA,Algeria,DZ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,27.96184375,28.77597707,36.00770337,37.69661625,36.7510391,33.95644451,35.48077956,33.178126,34.41299747,29.49746642,25.25974026,27.41227561,28.41029315,33.31730721,30.65537179,29.53680567,28.22957198,30.30508597,31.18346229,31.93525024,28.5967167,31.57010717,34.96849661,32.80280621,30.95366716,27.20690524,29.27943214,34.54543511,38.78761625,44.03177884,37.25032944,40.12483404,43.59269093,35.72278313,40.59844615,45.8103054,42.13116459,39.73896516,39.95899966,39.45185716,38.87548818
DZA,Algeria,DZ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,241.8376818,-209.4610195,-435.7369106,-85.19682395,74.24841715,1014.561131,-2229.545401,141.247942,-1899.997995,-1032.997892,1350,2390,1290,810,-1838.638775,-2236.915,1247.600173,3450,-910,20,9142.31626,7059.8,4359.16,8808,11177.49261,21635.26742,29343.16088,30923.30993,35052.48257,416.6700124,12185.22576,17689.57284,12188.00369,1189.871385,-9508.246179,-27225.81971,-26223.03503,-21951.90671,-16412.50916,-14859.88482,-14409.12095
DZA,Algeria,DZ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0.5711015583,-0.4720593017,-0.9730617965,-0.1792523525,0.1441358976,1.659621517,-3.623199158,0.2231419278,-3.677591584,-1.965433002,2.181211445,5.121080067,2.621063651,1.589398045,-4.333792983,-5.317636479,2.657776727,7.160965039,-1.888453122,0.0409457861,16.68442235,12.9248755,7.680159792,12.97975054,13.01085588,20.54906923,24.72037095,22.91001038,20.49839381,0.3036708996,7.558725538,8.84394169,5.829932625,0.5672672242,-4.447054463,-16.40427723,-16.37587711,-13.1014851,-9.049959978,-7.928531373,-7.438674565
DZA,Algeria,DZ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,,14.60005621,6.599973688,7.800002567,6.300041948,10.39995864,14.00004995,5.900007531,5.899959403,9.200028325,20.20634267,25.49999209,31.0000226,21.59998552,31.69999014,28.40001102,20.29999809,6.100003842,6.23070106,2.088256007,-0.6225542512,3.490245212,1.4,2.583,6.426599507,1.38,2.36,3.7,4.86,5.74,3.91,4.52,8.89,3.25,2.92,4.78,6.4,5.6,5.413852688,5.63733342,4.418125684
AGO,Angola,AO,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,-4.400001219,0,4.200001428,6.000002164,3.49999949,2.900001743,4.082748637,6.128890476,0.0416214618,-3.450098684,0.9913592959,-5.838280734,-23.98341744,1.339363462,15,20,5.5,0,3.239799671,3.012076175,3.141966223,14.53245286,3.308277922,11.18280776,20.90702704,11.54768318,14.01012694,11.16601689,3.378403865,4.859219584,3.471981378,8.542147334,4.954590476,4.822625551,0.9435756131,-2.580097243,-0.15,-0.7094168088,1.205486455,3.199417149
AGO,Angola,AO,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,-7.653439052,-3.523726811,0.5341021771,2.433853482,0.2637861414,-0.0396720304,1.325048476,3.403304222,-2.608189201,-6.180495375,-2.081837037,-8.850816502,-26.45263861,-1.864292123,11.55303696,16.62213318,2.656432664,-2.678847273,0.3564995474,-0.065318095,-0.1517595094,10.69105817,-0.2712021758,7.279346099,16.65990205,7.639809108,10.0177692,7.274423107,-0.2439335645,1.181678531,-0.1571609362,4.746546799,1.312474018,1.232061094,-2.458151946,-5.806157907,-3.404323208,-3.903613664,-2.020859751,-0.0695095
AGO,Angola,AO,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,7286.77208,6966.15402,6966.15402,7258.732588,7694.256701,7963.555646,8194.498899,8529.059691,9051.796418,9055.563908,8743.138016,8829.813928,8314.304603,6320.250223,6404.901345,7365.636547,8838.763856,9324.895868,9324.895868,9627.003814,9916.976502,10228.56455,11715.02588,12102.59149,13456.00103,16269.25081,18147.97235,20690.52631,23000.83397,23777.89503,24933.31517,25798.99522,28002.78341,29390.20665,30807.58626,31098.27913,30295.91329,30250.46942,29328.06184,29692.76094,30631.94524
AGO,Angola,AO,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,5003.049707,4682.459591,4682.459591,4879.74571,5172.592014,6372.707708,5966.483335,6820.115331,7398.34822,8606.354955,9473.365074,9182.64846,7080.140841,5138.506305,3741.720353,4669.752154,6023.680711,7074.393196,5996.902429,5671.121933,9916.976502,8936.093488,11386.25305,13956.26752,17965.31871,28233.47151,52381.00689,65266.41571,84178.087,70385.22752,83799.47893,111789.746,128052.9134,136709.8919,145712.1753,116193.6499,101123.4576,126526.174,116212.1762,115895.3292,121488.0649
AGO,Angola,AO,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,3743.565746,3643.291664,3877.264523,4244.936159,4712.881877,5314.526372,5481.649843,5548.499231,6283.842503,7186.309245,7520.556187,9852.914799,10547.98304,7540.366224,7493.5704,3703.196441,3391.286785,5754.113407,5274.939735,6383.627066,7304.926244,7698.97833,8502.59629,11280.57421,12991.37735,16610.12369,23251.22779,30360.58022,49403.46602,43746.30833,44279.72447,58374.65717,68191.06648,80897.79507,90986.18394,80379.08511,70692.10769,84751.10463,69895.69161,70225.77843,75916.52633
AGO,Angola,AO,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,2607.126145,2517.183331,2673.975533,2931.027348,3242.195334,3208.77064,3141.921251,3108.496557,3643.291664,4478.909018,2941.373086,3245.697259,2684.51136,3620.985131,2521.100266,1092.163909,2159.565757,1639.388508,3435.956304,1541.720314,3384.680021,3088.907215,3989.049217,4697.482885,4301.966902,5642.295434,8036.148671,10140.40039,14421.5864,13990.14036,14281.39525,20385.82216,22848.01315,29559.34274,26192.7252,19093.90718,14036.67734,13411.77416,10306.78813,9178.862752,9184.967455
AGO,Angola,AO,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,1136.439602,1126.108332,1203.28899,1313.908811,1470.686543,2105.755732,2339.728591,2440.002674,2640.550839,2707.400227,4579.1831,6607.21754,7863.471677,3919.381092,4972.470134,2611.032532,1231.721029,4114.724899,1838.983431,4841.906752,3920.246223,4610.071115,4513.547074,6583.09133,8689.410449,10967.82826,15215.07912,20220.17982,34981.87962,29756.16797,29998.32922,37988.83501,45343.05334,51338.45233,64793.45874,61285.17793,56655.43035,71339.33047,59588.90348,61046.91568,66731.55887
AGO,Angola,AO,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,467.9457183,434.5210241,434.5210241,467.9457183,534.7951066,1236.713684,1169.864296,1370.412461,1169.864296,1136.439602,1203.28899,1827.225159,3601.55439,2677.648421,2678.85407,1394.283387,2264.238571,1947.876574,2290.08094,2231.474313,1160.994076,1197.659399,1431.178531,1767.393197,1810.81006,2481.831665,12205.17842,16793.42689,13652.76016,30106.14395,23629.19841,29539.71786,34148.61167,35740.02513,40071.52122,39741.12206,27520.1831,34433.39219,34158.48511,33366.33263,34504.61538
AGO,Angola,AO,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,903.1294335,905.027649,905.027649,902.9452124,906.0813354,902.7942819,816.6943878,964.5031994,615.3383559,243.76567,171.5477145,1502.786837,3233.67155,2000.999936,2310.87961,1048.275962,1416.80231,1589.642295,1909.401386,1202.482572,600.0909462,630.0954935,661.6002682,768.0543184,838.354661,930.5736737,1891.456809,2545.009813,1756.717263,5570.315316,4883.689868,6301.139387,5994.647488,6565.443486,7361.139423,7300.44509,6159.067619,6809.471876,6501.898257,6351.115961,6361.749554
AGO,Angola,AO,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,-435.1837152,-470.5066249,-470.5066249,-434.9994941,-371.2862288,333.9194022,353.1699079,405.9092613,554.5259399,892.6739316,1031.741275,324.4383221,367.8828401,676.6484849,367.9744602,346.0074248,847.4362614,358.2342795,380.6795536,1028.991741,560.9031301,567.563905,769.5782624,999.3388781,972.4553986,1551.257991,10313.72161,14248.41707,11896.0429,24535.82863,18745.50854,23238.57848,28153.96418,29174.58164,32710.3818,32440.67697,21361.11548,27623.92031,27656.58685,27015.21667,28142.86582
AGO,Angola,AO,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,2774.249616,2607.126145,2239.454509,2239.454509,2239.454509,2272.879203,1470.686543,2440.002674,2640.550839,3141.921251,4010.9633,4439.76221,7261.675818,5493.655333,8159.875206,3803.820606,5398.399404,5238.622396,3655.894291,6976.445887,6692.173053,6736.737759,8534.59459,9709.555235,13797.63196,24285.73699,33245.10596,44319.67086,64243.39161,41310.61056,51572.80725,67822.78124,71632.96804,69376.28421,65126.1023,34572.95445,28440.55596,35598.90408,38964.39216,38272.78634,37735.16652
AGO,Angola,AO,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,1604.38532,1637.810014,1504.111237,1704.659402,1905.207567,1972.056956,1671.234708,1938.632262,2072.331038,2139.180426,2440.002674,3952.339829,7436.843968,5585.324669,7910.768969,3907.172671,4528.122012,5291.293481,4714.184216,7493.77133,5241.116871,6697.282,7082.116362,3332.400766,10634.50066,-15144.22083,16320.50528,26207.26226,43121.53079,44777.83532,35682.2512,43947.4103,45919.73276,49304.21252,50471.63213,38499.51171,25529.38914,28257.22688,26806.39269,25969.56821,26668.24337
AGO,Angola,AO,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,74.82567565,77.80722061,82.8040146,86.99092967,91.11257691,83.39510637,91.87404934,81.35491795,84.93574939,83.50003321,79.3863229,107.2992704,148.9798476,146.7423756,200.2707229,79.30177703,56.29924539,81.33720091,87.96107319,112.5637421,73.66082034,86.15597342,74.67422561,80.82801653,72.31364809,58.831319,44.3886614,46.51792179,58.68922398,62.15268441,52.84009524,52.21825729,53.25225694,59.17479266,62.44240314,69.17683124,69.90673516,66.98306124,60.14489523,60.59414035,62.4888761
AGO,Angola,AO,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,52.1107384,53.75771606,57.10621696,60.06516572,62.68028341,50.35176234,52.65951609,45.57835765,49.24466321,52.04188116,31.04887296,35.34598186,37.91607286,70.4676596,67.37810495,23.38804873,35.85126537,23.17355655,57.29551788,27.18545522,34.13016074,34.56663943,35.03390623,33.65859016,23.94595371,19.98441967,15.34172241,15.5369347,17.13223348,19.87652928,17.04234374,18.23586053,17.84263437,21.62194874,17.97565999,16.43283191,13.88073319,10.59999977,8.868939962,7.91995917,7.560386665
AGO,Angola,AO,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,22.71493725,24.04950455,25.69779763,26.92576395,28.43229351,33.04334403,39.21453326,35.7765603,35.69108618,31.45815205,48.33744994,71.95328852,111.0637748,76.27471603,132.892618,55.9137283,20.44798003,58.16364437,30.66555531,85.37828687,39.53065959,51.58933399,39.64031938,47.16942637,48.36769438,38.84689933,29.046939,30.98098709,41.5569905,42.27615513,35.79775149,33.98239676,35.40962257,37.55284392,44.46674315,52.74399933,56.02600197,56.38306147,51.27595527,52.67418118,54.92848944
AGO,Angola,AO,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,9.353209456,9.279760257,9.279760257,9.589551302,10.33901582,19.4064084,19.60726663,20.09368455,15.81250654,13.20465641,12.70181166,19.89867267,50.86840037,52.10947038,71.59418176,29.85775992,37.58895399,27.53418591,38.18773053,39.34802213,11.70713751,13.40249406,12.56935468,12.66379563,10.0794764,8.790387905,23.30077092,25.73057936,16.21890049,42.77338443,28.19730947,26.42435369,26.66757886,26.14296935,27.50046187,34.20249049,27.2144404,27.21444195,29.39320666,28.79005812,28.40165033
AGO,Angola,AO,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,18.05157826,19.32803971,19.32803971,18.50393988,17.51696892,14.16657288,13.68803602,14.1420365,8.317239708,2.832391544,1.810842432,16.36550548,45.67241842,38.94127626,61.75981613,22.44821412,23.5205413,22.47036955,31.8397941,21.20360991,6.051148211,7.051129159,5.810517871,5.50329318,4.666517052,3.29599452,3.610959241,3.899417159,2.086905661,7.914040364,5.827828443,5.636598717,4.681383131,4.802464105,5.051835515,6.282998336,6.09064184,5.381868162,5.594851134,5.4800448,5.236522256
