Country,Measure,Large subnational region,Small subnational region,Variable,Year,Value
Burkina Faso,Square kilometers,Total,Total,Area built-up before,2014,346.5495
Burkina Faso,Square kilometers,Total,Total,Built-up since 1990,2000,103.8762
Burkina Faso,Square kilometers,Total,Total,Built-up since 1990,2014,168.2901
Burkina Faso,Percent of total land area,Total,Total,Area built-up before,1975,0.053180711
Burkina Faso,Percent of total land area,Total,Total,Area built-up before,1990,0.064857369
Burkina Faso,Percent of total land area,Total,Total,Area built-up before,2000,0.102651376
Burkina Faso,Percent of total land area,Total,Total,Area built-up before,2014,0.126087537
Burkina Faso,Percent of total land area,Total,Total,Built-up since 1990,2000,0.037794007
Burkina Faso,Percent of total land area,Total,Total,Built-up since 1990,2014,0.061230168
Burkina Faso,Percent of total land area,Total,Total,Built-up since 2000,2014,0.023436161
Burkina Faso,Percent of total land area,Total,Total,Built-up since 1975,1990,0.011676658
Burundi,Square kilometers,Total,Total,Area built-up before,1975,26.8767
Burundi,Square kilometers,Total,Total,Area built-up before,1990,37.8684
Burundi,Square kilometers,Total,Total,Area built-up before,2000,60.1155
Burundi,Square kilometers,Total,Total,Area built-up before,2014,74.4984
Burundi,Square kilometers,Total,Total,Built-up since 1990,2000,22.2471
Burundi,Square kilometers,Total,Total,Built-up since 1990,2014,36.63
Burundi,Square kilometers,Total,Total,Built-up since 2000,2014,14.3829
Burundi,Square kilometers,Total,Total,Built-up since 1975,1990,10.9917
Burundi,Percent of total land area,Total,Total,Area built-up before,1975,0.107167243
Burundi,Percent of total land area,Total,Total,Area built-up before,1990,0.150995175
Burundi,Percent of total land area,Total,Total,Area built-up before,2000,0.239702508
Burundi,Percent of total land area,Total,Total,Area built-up before,2014,0.297052397
Burundi,Percent of total land area,Total,Total,Built-up since 1990,2000,0.088707333
Burundi,Percent of total land area,Total,Total,Built-up since 1990,2014,0.146057221
Burundi,Percent of total land area,Total,Total,Built-up since 2000,2014,0.057349888
Cameroon,Square kilometers,Total,Total,Area built-up before,1975,270.6219
Cameroon,Square kilometers,Total,Total,Area built-up before,1990,448.4241
Cameroon,Square kilometers,Total,Total,Area built-up before,2000,626.2578
Cameroon,Square kilometers,Total,Total,Area built-up before,2014,700.9281
Cameroon,Square kilometers,Total,Total,Built-up since 1990,2000,177.8337
Cameroon,Square kilometers,Total,Total,Built-up since 1990,2014,252.504
Cameroon,Square kilometers,Total,Total,Built-up since 2000,2014,74.6703
Cameroon,Square kilometers,Total,Total,Built-up since 1975,1990,177.8022
Cameroon,Percent of total land area,Total,Total,Area built-up before,1975,0.05798518
Cameroon,Percent of total land area,Total,Total,Area built-up before,1990,0.096082217
Cameroon,Percent of total land area,Total,Total,Area built-up before,2000,0.134186004
Cameroon,Percent of total land area,Total,Total,Area built-up before,2014,0.15018534
Cameroon,Percent of total land area,Total,Total,Built-up since 1990,2000,0.038103787
Cameroon,Percent of total land area,Total,Total,Built-up since 1990,2014,0.054103123
Cameroon,Percent of total land area,Total,Total,Built-up since 2000,2014,0.015999336
Cameroon,Percent of total land area,Total,Total,Built-up since 1975,1990,0.038097037
Cabo Verde,Square kilometers,Total,Total,Area built-up before,1975,16.7067
Cabo Verde,Square kilometers,Total,Total,Area built-up before,1990,16.7067
Cabo Verde,Square kilometers,Total,Total,Area built-up before,2000,16.7067
Cabo Verde,Square kilometers,Total,Total,Area built-up before,2014,17.8515
Cabo Verde,Square kilometers,Total,Total,Built-up since 1990,2000,0.0
Cabo Verde,Square kilometers,Total,Total,Built-up since 1990,2014,1.1448
Cabo Verde,Square kilometers,Total,Total,Built-up since 2000,2014,1.1448
Cabo Verde,Percent of total land area,Total,Total,Area built-up before,1975,0.441193073
Cabo Verde,Percent of total land area,Total,Total,Area built-up before,1990,0.441193073
Cabo Verde,Percent of total land area,Total,Total,Area built-up before,2000,0.441193073
Cabo Verde,Percent of total land area,Total,Total,Area built-up before,2014,0.471425125
Cabo Verde,Percent of total land area,Total,Total,Built-up since 1990,2000,0.0
Cabo Verde,Percent of total land area,Total,Total,Built-up since 1990,2014,0.030232052
Cabo Verde,Percent of total land area,Total,Total,Built-up since 2000,2014,0.030232052
Cabo Verde,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0
Central African Republic,Square kilometers,Total,Total,Area built-up before,1975,79.3053
Central African Republic,Square kilometers,Total,Total,Area built-up before,1990,92.4867
Central African Republic,Square kilometers,Total,Total,Area built-up before,2000,128.5902
Central African Republic,Square kilometers,Total,Total,Area built-up before,2014,146.2032
Central African Republic,Square kilometers,Total,Total,Built-up since 2000,2014,17.613
Central African Republic,Percent of total land area,Total,Total,Area built-up before,1975,0.012726563
Central African Republic,Percent of total land area,Total,Total,Area built-up before,1990,0.014841855
Central African Republic,Percent of total land area,Total,Total,Area built-up before,2000,0.020635585
Central African Republic,Percent of total land area,Total,Total,Area built-up before,2014,0.023462041
Central African Republic,Percent of total land area,Total,Total,Built-up since 1990,2000,0.005793729
Central African Republic,Percent of total land area,Total,Total,Built-up since 1990,2014,0.008620186
Central African Republic,Percent of total land area,Total,Total,Built-up since 2000,2014,0.002826456
Chad,Square kilometers,Total,Total,Area built-up before,1975,99.9549
Chad,Square kilometers,Total,Total,Area built-up before,1990,117.0108
Chad,Square kilometers,Total,Total,Area built-up before,2000,156.8628
Chad,Square kilometers,Total,Total,Area built-up before,2014,178.1955
Chad,Square kilometers,Total,Total,Built-up since 1990,2000,39.852
Chad,Square kilometers,Total,Total,Built-up since 1990,2014,61.1847
Chad,Square kilometers,Total,Total,Built-up since 2000,2014,21.3327
Chad,Square kilometers,Total,Total,Built-up since 1975,1990,17.0559
Chad,Percent of total land area,Total,Total,Area built-up before,1975,0.007865471
Chad,Percent of total land area,Total,Total,Area built-up before,1990,0.009207604
Chad,Percent of total land area,Total,Total,Area built-up before,2000,0.012343566
Chad,Percent of total land area,Total,Total,Area built-up before,2014,0.01402224
Chad,Percent of total land area,Total,Total,Built-up since 1990,2000,0.003135962
Chad,Percent of total land area,Total,Total,Built-up since 1990,2014,0.004814637
Chad,Percent of total land area,Total,Total,Built-up since 2000,2014,0.001678675
Chad,Percent of total land area,Total,Total,Built-up since 1975,1990,0.001342132
Comoros,Square kilometers,Total,Total,Area built-up before,1975,18.5931
Comoros,Square kilometers,Total,Total,Area built-up before,1990,18.5931
Comoros,Square kilometers,Total,Total,Area built-up before,2000,18.5931
Comoros,Square kilometers,Total,Total,Area built-up before,2014,31.572
Comoros,Square kilometers,Total,Total,Built-up since 1990,2000,0.0
Comoros,Square kilometers,Total,Total,Built-up since 1990,2014,12.9789
Comoros,Square kilometers,Total,Total,Built-up since 2000,2014,12.9789
Comoros,Square kilometers,Total,Total,Built-up since 1975,1990,0.0
Comoros,Percent of total land area,Total,Total,Area built-up before,1975,1.139709432
Comoros,Percent of total land area,Total,Total,Area built-up before,1990,1.139709432
Comoros,Percent of total land area,Total,Total,Area built-up before,2000,1.139709432
Comoros,Percent of total land area,Total,Total,Area built-up before,2014,1.935282776
Comoros,Percent of total land area,Total,Total,Built-up since 1990,2000,0.0
Comoros,Percent of total land area,Total,Total,Built-up since 1990,2014,0.795573344
Comoros,Percent of total land area,Total,Total,Built-up since 2000,2014,0.795573344
Comoros,Percent of total land area,Total,Total,Built-up since 1975,1990,0.0
Congo,Square kilometers,Total,Total,Built-up since 1990,2000,31.1031
Congo,Square kilometers,Total,Total,Built-up since 1990,2014,73.6794
Congo,Square kilometers,Total,Total,Built-up since 2000,2014,42.5763
Congo,Square kilometers,Total,Total,Built-up since 1975,1990,19.431
Congo,Percent of total land area,Total,Total,Area built-up before,1975,0.033935622
Congo,Percent of total land area,Total,Total,Area built-up before,1990,0.039634674
Congo,Percent of total land area,Total,Total,Area built-up before,2000,0.048757116
Congo,Percent of total land area,Total,Total,Area built-up before,2014,0.061244612
Congo,Percent of total land area,Total,Total,Built-up since 1990,2000,0.009122442
Congo,Percent of total land area,Total,Total,Built-up since 1990,2014,0.021609938
Congo,Percent of total land area,Total,Total,Built-up since 2000,2014,0.012487496
Côte d'Ivoire,Square kilometers,Total,Total,Area built-up before,1975,620.6886
Côte d'Ivoire,Square kilometers,Total,Total,Area built-up before,1990,773.712
Côte d'Ivoire,Square kilometers,Total,Total,Area built-up before,2000,986.9598
Côte d'Ivoire,Square kilometers,Total,Total,Area built-up before,2014,1171.3599
Côte d'Ivoire,Square kilometers,Total,Total,Built-up since 1990,2000,213.2478
Côte d'Ivoire,Square kilometers,Total,Total,Built-up since 1990,2014,397.6479
Côte d'Ivoire,Square kilometers,Total,Total,Built-up since 1975,1990,153.0234
Côte d'Ivoire,Percent of total land area,Total,Total,Area built-up before,1975,0.19266457
Côte d'Ivoire,Percent of total land area,Total,Total,Area built-up before,1990,0.24016373
Côte d'Ivoire,Percent of total land area,Total,Total,Area built-up before,2000,0.306356819
Côte d'Ivoire,Percent of total land area,Total,Total,Area built-up before,2014,0.363595451
Côte d'Ivoire,Percent of total land area,Total,Total,Built-up since 1990,2000,0.066193089
Côte d'Ivoire,Percent of total land area,Total,Total,Built-up since 1990,2014,0.12343172
Côte d'Ivoire,Percent of total land area,Total,Total,Built-up since 2000,2014,0.057238631
Côte d'Ivoire,Percent of total land area,Total,Total,Built-up since 1975,1990,0.047499161
Democratic Republic of the Congo,Square kilometers,Total,Total,Area built-up before,1975,869.1039
Democratic Republic of the Congo,Square kilometers,Total,Total,Area built-up before,1990,1155.609
Democratic Republic of the Congo,Square kilometers,Total,Total,Area built-up before,2000,1641.9258
Democratic Republic of the Congo,Square kilometers,Total,Total,Area built-up before,2014,2025.9846
Democratic Republic of the Congo,Square kilometers,Total,Total,Built-up since 1990,2000,486.3168
Democratic Republic of the Congo,Square kilometers,Total,Total,Built-up since 1990,2014,870.3756
Democratic Republic of the Congo,Square kilometers,Total,Total,Built-up since 1975,1990,286.5051
Democratic Republic of the Congo,Percent of total land area,Total,Total,Area built-up before,1975,0.037652258
Democratic Republic of the Congo,Percent of total land area,Total,Total,Area built-up before,1990,0.050064542
Democratic Republic of the Congo,Percent of total land area,Total,Total,Area built-up before,2000,0.071133283
Democratic Republic of the Congo,Percent of total land area,Total,Total,Area built-up before,2014,0.087771894
Democratic Republic of the Congo,Percent of total land area,Total,Total,Built-up since 1990,2000,0.021068742
Democratic Republic of the Congo,Percent of total land area,Total,Total,Built-up since 1990,2014,0.037707352
Djibouti,Square kilometers,Total,Total,Area built-up before,1975,1.1205
Djibouti,Square kilometers,Total,Total,Area built-up before,1990,1.6713
Djibouti,Square kilometers,Total,Total,Area built-up before,2000,1.8036
Djibouti,Square kilometers,Total,Total,Area built-up before,2014,2.2779
Djibouti,Square kilometers,Total,Total,Built-up since 1990,2000,0.1323
Djibouti,Square kilometers,Total,Total,Built-up since 1990,2014,0.6066
Djibouti,Square kilometers,Total,Total,Built-up since 1975,1990,0.5508
Djibouti,Percent of total land area,Total,Total,Area built-up before,1975,0.005173797
Djibouti,Percent of total land area,Total,Total,Area built-up before,1990,0.007717061
Djibouti,Percent of total land area,Total,Total,Area built-up before,2000,0.008327943
Djibouti,Percent of total land area,Total,Total,Area built-up before,2014,0.010517976
Djibouti,Percent of total land area,Total,Total,Built-up since 1990,2000,0.000610882
Djibouti,Percent of total land area,Total,Total,Built-up since 1990,2014,0.002800915
Djibouti,Percent of total land area,Total,Total,Built-up since 1975,1990,0.002543264
Egypt,Square kilometers,Total,Total,Area built-up before,1975,2522.7225
Egypt,Square kilometers,Total,Total,Area built-up before,1990,2940.7536
Egypt,Square kilometers,Total,Total,Area built-up before,2000,3598.0551
Egypt,Square kilometers,Total,Total,Area built-up before,2014,4107.762
Egypt,Square kilometers,Total,Total,Built-up since 1990,2000,657.3015
Egypt,Square kilometers,Total,Total,Built-up since 1990,2014,1167.0084
Egypt,Square kilometers,Total,Total,Built-up since 2000,2014,509.7069
Egypt,Square kilometers,Total,Total,Built-up since 1975,1990,418.0311
Egypt,Percent of total land area,Total,Total,Area built-up before,1975,0.256944463
Egypt,Percent of total land area,Total,Total,Area built-up before,1990,0.299521788
Egypt,Percent of total land area,Total,Total,Area built-up before,2000,0.366469295
Egypt,Percent of total land area,Total,Total,Area built-up before,2014,0.418383989
Egypt,Percent of total land area,Total,Total,Built-up since 1990,2000,0.066947507
Egypt,Percent of total land area,Total,Total,Built-up since 1990,2014,0.1188622
Egypt,Percent of total land area,Total,Total,Built-up since 2000,2014,0.051914694
Egypt,Percent of total land area,Total,Total,Built-up since 1975,1990,0.042577325
Equatorial Guinea,Square kilometers,Total,Total,Area built-up before,1975,20.2383
Equatorial Guinea,Square kilometers,Total,Total,Area built-up before,1990,26.2638
Equatorial Guinea,Square kilometers,Total,Total,Area built-up before,2000,31.3974
Equatorial Guinea,Square kilometers,Total,Total,Area built-up before,2014,35.3835
Equatorial Guinea,Square kilometers,Total,Total,Built-up since 2000,2014,3.9861
Equatorial Guinea,Percent of total land area,Total,Total,Area built-up before,1975,0.074810512
Equatorial Guinea,Percent of total land area,Total,Total,Area built-up before,1990,0.097083664
Equatorial Guinea,Percent of total land area,Total,Total,Area built-up before,2000,0.116059924
Equatorial Guinea,Percent of total land area,Total,Total,Area built-up before,2014,0.130794471
Eritrea,Square kilometers,Total,Total,Area built-up before,1975,1.9035
Eritrea,Square kilometers,Total,Total,Area built-up before,1990,3.7386
Eritrea,Square kilometers,Total,Total,Area built-up before,2000,5.7438
Eritrea,Square kilometers,Total,Total,Area built-up before,2014,8.613
Eritrea,Square kilometers,Total,Total,Built-up since 1990,2000,2.0052
Eritrea,Square kilometers,Total,Total,Built-up since 1990,2014,4.8744
Eritrea,Square kilometers,Total,Total,Built-up since 1975,1990,1.8351
Eritrea,Percent of total land area,Total,Total,Area built-up before,1975,0.001567377
Eritrea,Percent of total land area,Total,Total,Area built-up before,1990,0.003078431
Eritrea,Percent of total land area,Total,Total,Area built-up before,2000,0.00472955
Eritrea,Percent of total land area,Total,Total,Area built-up before,2014,0.007092101
Eritrea,Percent of total land area,Total,Total,Built-up since 2000,2014,0.002362552
Eritrea,Percent of total land area,Total,Total,Built-up since 1975,1990,0.001511055
Ethiopia,Square kilometers,Total,Total,Area built-up before,1975,70.8138
Ethiopia,Square kilometers,Total,Total,Area built-up before,1990,167.8653
Ethiopia,Square kilometers,Total,Total,Area built-up before,2000,320.4081
Ethiopia,Square kilometers,Total,Total,Area built-up before,2014,493.7274
Ethiopia,Square kilometers,Total,Total,Built-up since 1990,2000,152.5428
Ethiopia,Square kilometers,Total,Total,Built-up since 1990,2014,325.8621
Ethiopia,Square kilometers,Total,Total,Built-up since 2000,2014,173.3193
Ethiopia,Square kilometers,Total,Total,Built-up since 1975,1990,97.0515
Ethiopia,Percent of total land area,Total,Total,Area built-up before,1975,0.006266216
Ethiopia,Percent of total land area,Total,Total,Area built-up before,1990,0.014854169
Ethiopia,Percent of total land area,Total,Total,Area built-up before,2000,0.028352471
Ethiopia,Percent of total land area,Total,Total,Area built-up before,2014,0.043689257
Ethiopia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.013498302
Ethiopia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.028835088
Ethiopia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.015336786
Ethiopia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.008587953
Gabon,Square kilometers,Total,Total,Area built-up before,1975,50.9247
Gabon,Square kilometers,Total,Total,Area built-up before,1990,69.8418
Gabon,Square kilometers,Total,Total,Area built-up before,2000,81.3204
Gabon,Square kilometers,Total,Total,Area built-up before,2014,86.2884
Gabon,Square kilometers,Total,Total,Built-up since 1990,2000,11.4786
Gabon,Square kilometers,Total,Total,Built-up since 1990,2014,16.4466
Gabon,Square kilometers,Total,Total,Built-up since 2000,2014,4.968
Gabon,Square kilometers,Total,Total,Built-up since 1975,1990,18.9171
Gabon,Percent of total land area,Total,Total,Area built-up before,1975,0.019331538
Gabon,Percent of total land area,Total,Total,Area built-up before,1990,0.026512664
Gabon,Percent of total land area,Total,Total,Area built-up before,2000,0.030870058
Gabon,Percent of total land area,Total,Total,Area built-up before,2014,0.032755962
Gabon,Percent of total land area,Total,Total,Built-up since 1990,2000,0.004357394
Gabon,Percent of total land area,Total,Total,Built-up since 1990,2014,0.006243298
Gabon,Percent of total land area,Total,Total,Built-up since 1975,1990,0.007181125
Gambia,Square kilometers,Total,Total,Area built-up before,1975,80.2152
Gambia,Square kilometers,Total,Total,Area built-up before,1990,100.4733
Gambia,Square kilometers,Total,Total,Area built-up before,2000,123.2055
Gambia,Square kilometers,Total,Total,Area built-up before,2014,128.2698
Gambia,Square kilometers,Total,Total,Built-up since 1990,2000,22.7322
Gambia,Square kilometers,Total,Total,Built-up since 1990,2014,27.7965
Gambia,Percent of total land area,Total,Total,Area built-up before,1975,0.759929072
Gambia,Percent of total land area,Total,Total,Area built-up before,1990,0.951846802
Gambia,Percent of total land area,Total,Total,Area built-up before,2000,1.167203239
Gambia,Percent of total land area,Total,Total,Area built-up before,2014,1.21518054
Gambia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.215356437
Gambia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.263333738
Gambia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.047977301
Ghana,Square kilometers,Total,Total,Area built-up before,1975,987.2055
Ghana,Square kilometers,Total,Total,Area built-up before,1990,1292.7393
Ghana,Square kilometers,Total,Total,Area built-up before,2000,1731.8592
Ghana,Square kilometers,Total,Total,Area built-up before,2014,2064.9177
Ghana,Square kilometers,Total,Total,Built-up since 1990,2000,439.1199
Ghana,Square kilometers,Total,Total,Built-up since 1990,2014,772.1784
Ghana,Square kilometers,Total,Total,Built-up since 2000,2014,333.0585
Ghana,Square kilometers,Total,Total,Built-up since 1975,1990,305.5338
Ghana,Percent of total land area,Total,Total,Area built-up before,1975,0.420539812
Ghana,Percent of total land area,Total,Total,Area built-up before,1990,0.550694199
Ghana,Percent of total land area,Total,Total,Area built-up before,2000,0.737754947
Ghana,Percent of total land area,Total,Total,Area built-up before,2014,0.879634585
Ghana,Percent of total land area,Total,Total,Built-up since 2000,2014,0.141879638
Ghana,Percent of total land area,Total,Total,Built-up since 1975,1990,0.130154387
Guinea,Square kilometers,Total,Total,Area built-up before,1975,221.6088
Guinea,Square kilometers,Total,Total,Area built-up before,1990,291.8655
Guinea,Square kilometers,Total,Total,Area built-up before,2000,408.7512
Guinea,Square kilometers,Total,Total,Area built-up before,2014,499.248
Guinea,Square kilometers,Total,Total,Built-up since 1990,2000,116.8857
Guinea,Square kilometers,Total,Total,Built-up since 1990,2014,207.3825
Guinea,Square kilometers,Total,Total,Built-up since 2000,2014,90.4968
Guinea,Square kilometers,Total,Total,Built-up since 1975,1990,70.2567
Guinea,Percent of total land area,Total,Total,Area built-up before,1975,0.09066046
Guinea,Percent of total land area,Total,Total,Area built-up before,1990,0.119402572
Guinea,Percent of total land area,Total,Total,Area built-up before,2000,0.16722067
Guinea,Percent of total land area,Total,Total,Area built-up before,2014,0.204243033
Guinea,Percent of total land area,Total,Total,Built-up since 1990,2000,0.047818098
Guinea,Percent of total land area,Total,Total,Built-up since 1990,2014,0.084840462
Guinea,Percent of total land area,Total,Total,Built-up since 1975,1990,0.028742111
Guinea-Bissau,Square kilometers,Total,Total,Area built-up before,1975,37.5471
Guinea-Bissau,Square kilometers,Total,Total,Area built-up before,1990,44.5329
Guinea-Bissau,Square kilometers,Total,Total,Area built-up before,2000,59.0598
Guinea-Bissau,Square kilometers,Total,Total,Area built-up before,2014,67.554
Guinea-Bissau,Square kilometers,Total,Total,Built-up since 1990,2000,14.5269
Guinea-Bissau,Square kilometers,Total,Total,Built-up since 1990,2014,23.0211
Guinea-Bissau,Square kilometers,Total,Total,Built-up since 2000,2014,8.4942
Guinea-Bissau,Percent of total land area,Total,Total,Area built-up before,1975,0.121500664
Guinea-Bissau,Percent of total land area,Total,Total,Area built-up before,1990,0.144106386
Guinea-Bissau,Percent of total land area,Total,Total,Area built-up before,2000,0.191114757
Guinea-Bissau,Percent of total land area,Total,Total,Area built-up before,2014,0.218601592
Guinea-Bissau,Percent of total land area,Total,Total,Built-up since 1990,2000,0.047008371
Guinea-Bissau,Percent of total land area,Total,Total,Built-up since 1990,2014,0.074495205
Guinea-Bissau,Percent of total land area,Total,Total,Built-up since 2000,2014,0.027486835
Guinea-Bissau,Percent of total land area,Total,Total,Built-up since 1975,1990,0.022605723
Kenya,Square kilometers,Total,Total,Area built-up before,1975,73.683
Kenya,Square kilometers,Total,Total,Area built-up before,1990,130.0095
Kenya,Square kilometers,Total,Total,Area built-up before,2000,222.7545
Kenya,Square kilometers,Total,Total,Area built-up before,2014,288.1962
Kenya,Square kilometers,Total,Total,Built-up since 1990,2000,92.745
Kenya,Square kilometers,Total,Total,Built-up since 1990,2014,158.1867
Kenya,Square kilometers,Total,Total,Built-up since 2000,2014,65.4417
Kenya,Square kilometers,Total,Total,Built-up since 1975,1990,56.3265
Kenya,Percent of total land area,Total,Total,Area built-up before,1975,0.012818587
Kenya,Percent of total land area,Total,Total,Area built-up before,1990,0.022617674
Kenya,Percent of total land area,Total,Total,Area built-up before,2000,0.038752466
Kenya,Percent of total land area,Total,Total,Area built-up before,2014,0.050137319
Kenya,Percent of total land area,Total,Total,Built-up since 1990,2000,0.016134792
Kenya,Percent of total land area,Total,Total,Built-up since 1990,2014,0.027519645
Kenya,Percent of total land area,Total,Total,Built-up since 2000,2014,0.011384853
Kenya,Percent of total land area,Total,Total,Built-up since 1975,1990,0.009799087
Lesotho,Square kilometers,Total,Total,Area built-up before,1975,9.333
Lesotho,Square kilometers,Total,Total,Area built-up before,1990,27.7146
Lesotho,Square kilometers,Total,Total,Area built-up before,2000,45.0504
Lesotho,Square kilometers,Total,Total,Area built-up before,2014,53.0433
Lesotho,Square kilometers,Total,Total,Built-up since 1990,2000,17.3358
Lesotho,Square kilometers,Total,Total,Built-up since 1990,2014,25.3287
Lesotho,Square kilometers,Total,Total,Built-up since 2000,2014,7.9929
Lesotho,Square kilometers,Total,Total,Built-up since 1975,1990,18.3816
Lesotho,Percent of total land area,Total,Total,Area built-up before,1975,0.030542049
Lesotho,Percent of total land area,Total,Total,Area built-up before,1990,0.090695455
Lesotho,Percent of total land area,Total,Total,Area built-up before,2000,0.147426501
Lesotho,Percent of total land area,Total,Total,Area built-up before,2014,0.173583101
Lesotho,Percent of total land area,Total,Total,Built-up since 1990,2000,0.056731046
Lesotho,Percent of total land area,Total,Total,Built-up since 1990,2014,0.082887646
Liberia,Square kilometers,Total,Total,Built-up since 1990,2000,24.03
Liberia,Square kilometers,Total,Total,Built-up since 1990,2014,65.4444
Liberia,Square kilometers,Total,Total,Built-up since 2000,2014,41.4144
Liberia,Square kilometers,Total,Total,Built-up since 1975,1990,17.5446
Liberia,Percent of total land area,Total,Total,Area built-up before,1975,0.157107054
Liberia,Percent of total land area,Total,Total,Area built-up before,1990,0.175275979
Liberia,Percent of total land area,Total,Total,Area built-up before,2000,0.200161088
Liberia,Percent of total land area,Total,Total,Area built-up before,2014,0.243049221
Liberia,Percent of total land area,Total,Total,Built-up since 1990,2000,0.024885109
Liberia,Percent of total land area,Total,Total,Built-up since 1990,2014,0.067773242
Liberia,Percent of total land area,Total,Total,Built-up since 2000,2014,0.042888133
Liberia,Percent of total land area,Total,Total,Built-up since 1975,1990,0.018168925
Libya,Square kilometers,Total,Total,Area built-up before,1975,773.5545
