Population,annual population change %,Year,City,Country
5093000,5.55,1996,Kinshasa,Democratic Republic of Congo
5375000,5.54,1997,Kinshasa,Democratic Republic of Congo
5641000,4.95,1998,Kinshasa,Democratic Republic of Congo
5885000,4.33,1999,Kinshasa,Democratic Republic of Congo
6140000,4.33,2000,Kinshasa,Democratic Republic of Congo
6406000,4.33,2001,Kinshasa,Democratic Republic of Congo
6683000,4.32,2002,Kinshasa,Democratic Republic of Congo
6972000,4.32,2003,Kinshasa,Democratic Republic of Congo
7274000,4.33,2004,Kinshasa,Democratic Republic of Congo
7589000,4.33,2005,Kinshasa,Democratic Republic of Congo
7918000,4.34,2006,Kinshasa,Democratic Republic of Congo
8261000,4.33,2007,Kinshasa,Democratic Republic of Congo
8619000,4.33,2008,Kinshasa,Democratic Republic of Congo
8992000,4.33,2009,Kinshasa,Democratic Republic of Congo
9382000,4.34,2010,Kinshasa,Democratic Republic of Congo
9788000,4.33,2011,Kinshasa,Democratic Republic of Congo
10212000,4.33,2012,Kinshasa,Democratic Republic of Congo
10655000,4.34,2013,Kinshasa,Democratic Republic of Congo
11116000,4.33,2014,Kinshasa,Democratic Republic of Congo
11598000,4.34,2015,Kinshasa,Democratic Republic of Congo
12100000,4.33,2016,Kinshasa,Democratic Republic of Congo
12624000,4.33,2017,Kinshasa,Democratic Republic of Congo
13171000,4.33,2018,Kinshasa,Democratic Republic of Congo
13743000,4.34,2019,Kinshasa,Democratic Republic of Congo
14342000,4.36,2020,Kinshasa,Democratic Republic of Congo
14970000,4.38,2021,Kinshasa,Democratic Republic of Congo
15628000,4.4,2022,Kinshasa,Democratic Republic of Congo
16316000,4.4,2023,Kinshasa,Democratic Republic of Congo
17032000,4.39,2024,Kinshasa,Democratic Republic of Congo
17778000,4.38,2025,Kinshasa,Democratic Republic of Congo
18553000,4.36,2026,Kinshasa,Democratic Republic of Congo
19354000,4.32,2027,Kinshasa,Democratic Republic of Congo
20182000,4.28,2028,Kinshasa,Democratic Republic of Congo
21036000,4.23,2029,Kinshasa,Democratic Republic of Congo
21914000,4.17,2030,Kinshasa,Democratic Republic of Congo
22818000,4.13,2031,Kinshasa,Democratic Republic of Congo
23746000,4.07,2032,Kinshasa,Democratic Republic of Congo
24700000,4.02,2033,Kinshasa,Democratic Republic of Congo
25679000,3.96,2034,Kinshasa,Democratic Republic of Congo
26682000,3.91,2035,Kinshasa,Democratic Republic of Congo
95000,4.72,1950,Douala,Cameroon
99000,4.21,1951,Douala,Cameroon
103000,4.04,1952,Douala,Cameroon
107000,3.88,1953,Douala,Cameroon
112000,4.67,1954,Douala,Cameroon
117000,4.46,1955,Douala,Cameroon
123000,5.13,1956,Douala,Cameroon
129000,4.88,1957,Douala,Cameroon
137000,6.2,1958,Douala,Cameroon
144000,5.11,1959,Douala,Cameroon
153000,6.25,1960,Douala,Cameroon
161000,5.23,1961,Douala,Cameroon
170000,5.59,1962,Douala,Cameroon
180000,5.88,1963,Douala,Cameroon
190000,5.56,1964,Douala,Cameroon
205000,7.89,1965,Douala,Cameroon
221000,7.8,1966,Douala,Cameroon
238000,7.69,1967,Douala,Cameroon
256000,7.56,1968,Douala,Cameroon
276000,7.81,1969,Douala,Cameroon
298000,7.97,1970,Douala,Cameroon
321000,7.72,1971,Douala,Cameroon
346000,7.79,1972,Douala,Cameroon
373000,7.8,1973,Douala,Cameroon
401000,7.51,1974,Douala,Cameroon
433000,7.98,1975,Douala,Cameroon
464000,7.16,1976,Douala,Cameroon
488000,5.17,1977,Douala,Cameroon
514000,5.33,1978,Douala,Cameroon
542000,5.45,1979,Douala,Cameroon
571000,5.35,1980,Douala,Cameroon
601000,5.25,1981,Douala,Cameroon
633000,5.32,1982,Douala,Cameroon
667000,5.37,1983,Douala,Cameroon
702000,5.25,1984,Douala,Cameroon
740000,5.41,1985,Douala,Cameroon
779000,5.27,1986,Douala,Cameroon
819000,5.13,1987,Douala,Cameroon
858000,4.76,1988,Douala,Cameroon
898000,4.66,1989,Douala,Cameroon
940000,4.68,1990,Douala,Cameroon
985000,4.79,1991,Douala,Cameroon
1031000,4.67,1992,Douala,Cameroon
1080000,4.75,1993,Douala,Cameroon
1131000,4.72,1994,Douala,Cameroon
1184000,4.69,1995,Douala,Cameroon
1240000,4.73,1996,Douala,Cameroon
1298000,4.68,1997,Douala,Cameroon
1359000,4.7,1998,Douala,Cameroon
1423000,4.71,1999,Douala,Cameroon
1490000,4.71,2000,Douala,Cameroon
1560000,4.7,2001,Douala,Cameroon
1634000,4.74,2002,Douala,Cameroon
1711000,4.71,2003,Douala,Cameroon
1791000,4.68,2004,Douala,Cameroon
1876000,4.75,2005,Douala,Cameroon
1964000,4.69,2006,Douala,Cameroon
2057000,4.74,2007,Douala,Cameroon
2153000,4.67,2008,Douala,Cameroon
2255000,4.74,2009,Douala,Cameroon
2361000,4.7,2010,Douala,Cameroon
2472000,4.7,2011,Douala,Cameroon
2589000,4.73,2012,Douala,Cameroon
2711000,4.71,2013,Douala,Cameroon
2838000,4.68,2014,Douala,Cameroon
2972000,4.72,2015,Douala,Cameroon
3112000,4.71,2016,Douala,Cameroon
3259000,4.72,2017,Douala,Cameroon
3412000,4.69,2018,Douala,Cameroon
3536000,3.63,2019,Douala,Cameroon
3663000,3.59,2020,Douala,Cameroon
3793000,3.55,2021,Douala,Cameroon
3927000,3.53,2022,Douala,Cameroon
4063000,3.46,2023,Douala,Cameroon
4203000,3.45,2024,Douala,Cameroon
4346000,3.4,2025,Douala,Cameroon
4493000,3.38,2026,Douala,Cameroon
4643000,3.34,2027,Douala,Cameroon
4796000,3.3,2028,Douala,Cameroon
4953000,3.27,2029,Douala,Cameroon
5112000,3.21,2030,Douala,Cameroon
5275000,3.19,2031,Douala,Cameroon
5440000,3.13,2032,Douala,Cameroon
5609000,3.11,2033,Douala,Cameroon
5781000,3.07,2034,Douala,Cameroon
5956000,3.03,2035,Douala,Cameroon
138000,5.3,1950,Luanda,Angola
145000,5.07,1951,Luanda,Angola
152000,4.83,1952,Luanda,Angola
159000,4.61,1953,Luanda,Angola
166000,4.4,1954,Luanda,Angola
174000,4.82,1955,Luanda,Angola
182000,4.6,1956,Luanda,Angola
191000,4.95,1957,Luanda,Angola
200000,4.71,1958,Luanda,Angola
210000,5.0,1959,Luanda,Angola
219000,4.29,1960,Luanda,Angola
233000,6.39,1961,Luanda,Angola
251000,7.73,1962,Luanda,Angola
271000,7.97,1963,Luanda,Angola
292000,7.75,1964,Luanda,Angola
315000,7.88,1965,Luanda,Angola
340000,7.94,1966,Luanda,Angola
366000,7.65,1967,Luanda,Angola
395000,7.92,1968,Luanda,Angola
426000,7.85,1969,Luanda,Angola
459000,7.75,1970,Luanda,Angola
489000,6.54,1971,Luanda,Angola
514000,5.11,1972,Luanda,Angola
541000,5.25,1973,Luanda,Angola
569000,5.18,1974,Luanda,Angola
599000,5.27,1975,Luanda,Angola
630000,5.18,1976,Luanda,Angola
662000,5.08,1977,Luanda,Angola
697000,5.29,1978,Luanda,Angola
733000,5.16,1979,Luanda,Angola
771000,5.18,1980,Luanda,Angola
811000,5.19,1981,Luanda,Angola
854000,5.3,1982,Luanda,Angola
898000,5.15,1983,Luanda,Angola
964000,7.35,1984,Luanda,Angola
1035000,7.37,1985,Luanda,Angola
1111000,7.34,1986,Luanda,Angola
1192000,7.29,1987,Luanda,Angola
1279000,7.3,1988,Luanda,Angola
1373000,7.35,1989,Luanda,Angola
1474000,7.36,1990,Luanda,Angola
1582000,7.33,1991,Luanda,Angola
1698000,7.33,1992,Luanda,Angola
1822000,7.3,1993,Luanda,Angola
1941000,6.53,1994,Luanda,Angola
2066000,6.44,1995,Luanda,Angola
2200000,6.49,1996,Luanda,Angola
2343000,6.5,1997,Luanda,Angola
2495000,6.49,1998,Luanda,Angola
2656000,6.45,1999,Luanda,Angola
2829000,6.51,2000,Luanda,Angola
3012000,6.47,2001,Luanda,Angola
3207000,6.47,2002,Luanda,Angola
3415000,6.49,2003,Luanda,Angola
3637000,6.5,2004,Luanda,Angola
3872000,6.46,2005,Luanda,Angola
4123000,6.48,2006,Luanda,Angola
4390000,6.48,2007,Luanda,Angola
4675000,6.49,2008,Luanda,Angola
4978000,6.48,2009,Luanda,Angola
5300000,6.47,2010,Luanda,Angola
5644000,6.49,2011,Luanda,Angola
6010000,6.48,2012,Luanda,Angola
6399000,6.47,2013,Luanda,Angola
6789000,6.09,2014,Luanda,Angola
7023000,3.45,2015,Luanda,Angola
7265000,3.45,2016,Luanda,Angola
7515000,3.44,2017,Luanda,Angola
7774000,3.45,2018,Luanda,Angola
8045000,3.49,2019,Luanda,Angola
8330000,3.54,2020,Luanda,Angola
8632000,3.63,2021,Luanda,Angola
8952000,3.71,2022,Luanda,Angola
9292000,3.8,2023,Luanda,Angola
9651000,3.86,2024,Luanda,Angola
10028000,3.91,2025,Luanda,Angola
10421000,3.92,2026,Luanda,Angola
10830000,3.92,2027,Luanda,Angola
11251000,3.89,2028,Luanda,Angola
11684000,3.85,2029,Luanda,Angola
12129000,3.81,2030,Luanda,Angola
12583000,3.74,2031,Luanda,Angola
13047000,3.69,2032,Luanda,Angola
13521000,3.63,2033,Luanda,Angola
14004000,3.57,2034,Luanda,Angola
14495000,3.51,2035,Luanda,Angola
137000,4.84,1950,Nairobi,Kenya
148000,8.03,1951,Nairobi,Kenya
160000,8.11,1952,Nairobi,Kenya
172000,7.5,1953,Nairobi,Kenya
186000,8.14,1954,Nairobi,Kenya
201000,8.06,1955,Nairobi,Kenya
216000,7.46,1956,Nairobi,Kenya
233000,7.87,1957,Nairobi,Kenya
252000,8.15,1958,Nairobi,Kenya
271000,7.54,1959,Nairobi,Kenya
293000,8.12,1960,Nairobi,Kenya
316000,7.85,1961,Nairobi,Kenya
340000,7.59,1962,Nairobi,Kenya
361000,6.18,1963,Nairobi,Kenya
382000,5.82,1964,Nairobi,Kenya
404000,5.76,1965,Nairobi,Kenya
427000,5.69,1966,Nairobi,Kenya
451000,5.62,1967,Nairobi,Kenya
478000,5.99,1968,Nairobi,Kenya
505000,5.65,1969,Nairobi,Kenya
531000,5.15,1970,Nairobi,Kenya
557000,4.9,1971,Nairobi,Kenya
585000,5.03,1972,Nairobi,Kenya
614000,4.96,1973,Nairobi,Kenya
645000,5.05,1974,Nairobi,Kenya
677000,4.96,1975,Nairobi,Kenya
710000,4.87,1976,Nairobi,Kenya
746000,5.07,1977,Nairobi,Kenya
783000,4.96,1978,Nairobi,Kenya
822000,4.98,1979,Nairobi,Kenya
862000,4.87,1980,Nairobi,Kenya
903000,4.76,1981,Nairobi,Kenya
947000,4.87,1982,Nairobi,Kenya
992000,4.75,1983,Nairobi,Kenya
1040000,4.84,1984,Nairobi,Kenya
1090000,4.81,1985,Nairobi,Kenya
1142000,4.77,1986,Nairobi,Kenya
1197000,4.82,1987,Nairobi,Kenya
1255000,4.85,1988,Nairobi,Kenya
1315000,4.78,1989,Nairobi,Kenya
1380000,4.94,1990,Nairobi,Kenya
1448000,4.93,1991,Nairobi,Kenya
1520000,4.97,1992,Nairobi,Kenya
1594000,4.87,1993,Nairobi,Kenya
1673000,4.96,1994,Nairobi,Kenya
1755000,4.9,1995,Nairobi,Kenya
1842000,4.96,1996,Nairobi,Kenya
1933000,4.94,1997,Nairobi,Kenya
2028000,4.91,1998,Nairobi,Kenya
2128000,4.93,1999,Nairobi,Kenya
2214000,4.04,2000,Nairobi,Kenya
2299000,3.84,2001,Nairobi,Kenya
2388000,3.87,2002,Nairobi,Kenya
2481000,3.89,2003,Nairobi,Kenya
2577000,3.87,2004,Nairobi,Kenya
2677000,3.88,2005,Nairobi,Kenya
2780000,3.85,2006,Nairobi,Kenya
2888000,3.88,2007,Nairobi,Kenya
3000000,3.88,2008,Nairobi,Kenya
3116000,3.87,2009,Nairobi,Kenya
3237000,3.88,2010,Nairobi,Kenya
3362000,3.86,2011,Nairobi,Kenya
3492000,3.87,2012,Nairobi,Kenya
3627000,3.87,2013,Nairobi,Kenya
3768000,3.89,2014,Nairobi,Kenya
3914000,3.87,2015,Nairobi,Kenya
4065000,3.86,2016,Nairobi,Kenya
4222000,3.86,2017,Nairobi,Kenya
4386000,3.88,2018,Nairobi,Kenya
4556000,3.88,2019,Nairobi,Kenya
4735000,3.93,2020,Nairobi,Kenya
4922000,3.95,2021,Nairobi,Kenya
5119000,4.0,2022,Nairobi,Kenya
5325000,4.02,2023,Nairobi,Kenya
5541000,4.06,2024,Nairobi,Kenya
5767000,4.08,2025,Nairobi,Kenya
6002000,4.07,2026,Nairobi,Kenya
6247000,4.08,2027,Nairobi,Kenya
6500000,4.05,2028,Nairobi,Kenya
6762000,4.03,2029,Nairobi,Kenya
7031000,3.98,2030,Nairobi,Kenya
7309000,3.95,2031,Nairobi,Kenya
7594000,3.9,2032,Nairobi,Kenya
7888000,3.87,2033,Nairobi,Kenya
8190000,3.83,2034,Nairobi,Kenya
8499000,3.77,2035,Nairobi,Kenya
