Country name,Year,Aggregation level,Sub-national region name,Number of individual cases in dataset for region,Number of households in dataset for region,% population in urban areas
Angola,2011.0,Subnat, Cunene,931.0,219.0,18.66
Angola,2011.0,Subnat, Lunda Sul,1075.0,235.0,0.0
Angola,2011.0,Subnat, Bengo,1316.0,262.0,5.02
Angola,2011.0,Wealth quartiles,Lowest 25%,8644.0,2007.0,4.33
Angola,2011.0,Wealth quartiles,Second 25%,9834.0,2007.0,13.24
Angola,2011.0,Wealth quartiles,Third 25%,10649.0,2009.0,70.76
Angola,2011.0,Wealth quartiles,Highest 25%,11550.0,2007.0,64.96
Angola,2016.0,National,Total,78530.0,16109.0,64.46
Angola,2016.0,Urb/rur,Rural,27909.0,6246.0,0.0
Angola,2016.0,Urb/rur,Urban,50622.0,9863.0,100.0
Angola,2016.0,Poverty,Nonpoor,36205.0,6471.0,95.52
Angola,2016.0,Poverty,Poor,42325.0,9638.0,37.89
Angola,2016.0,Subnat, Cabinda,1736.0,398.0,81.76
Angola,2016.0,Subnat, Zaire,1583.0,343.0,73.2
Angola,2016.0,Subnat, Uige,4343.0,905.0,35.26
Angola,2016.0,Subnat, Luanda,26265.0,4931.0,96.55
Angola,2016.0,Subnat, Kuanza Norte,1097.0,274.0,56.84
Angola,2016.0,Subnat, Kuanza Sul,5882.0,1364.0,36.26
Angola,2016.0,Subnat, Malange,3165.0,661.0,51.88
Angola,2016.0,Subnat, Lunda Norte,2168.0,493.0,65.08
Angola,2016.0,Subnat, Benguela,6521.0,1355.0,65.76
Angola,2016.0,Subnat, Huambo,5508.0,1150.0,46.88
Angola,2016.0,Subnat, Bie,3793.0,845.0,42.97
Angola,2016.0,Subnat, Moxico,1812.0,442.0,50.06
Angola,2016.0,Subnat, Kuando Kubango,1390.0,353.0,55.11
Angola,2016.0,Subnat, Namibe,997.0,203.0,65.6
Angola,2016.0,Subnat, Huila,6963.0,1337.0,34.43
Angola,2016.0,Subnat, Cunene,3021.0,548.0,23.36
Angola,2016.0,Subnat, Lunda Sul,1348.0,285.0,75.35
Angola,2016.0,Subnat, Bengo,938.0,223.0,42.37
Angola,2016.0,Wealth quartiles,Lowest 25%,17995.0,4027.0,6.21
Angola,2016.0,Wealth quartiles,Second 25%,17476.0,4028.0,47.48
Angola,2016.0,Wealth quartiles,Third 25%,20323.0,4027.0,92.0
Angola,2016.0,Wealth quartiles,Highest 25%,22736.0,4027.0,99.0
Burundi,2005.0,National,Total,40633.0,8200.0,5.26
Burundi,2005.0,Urb/rur,Rural,38495.0,7796.0,0.0
Burundi,2005.0,Urb/rur,Urban,2138.0,404.0,100.0
Burundi,2005.0,Poverty,Nonpoor,928.0,148.0,80.26
Burundi,2005.0,Poverty,Poor,39672.0,8046.0,3.51
Burundi,2005.0,Subnat,"North (Kayanza, Kirundo, Muyinga, Ngozi)",13374.0,2778.0,0.99
Burundi,2005.0,Subnat,"South (Bururi, Makamba)",6559.0,1258.0,1.56
Burundi,2005.0,Subnat,"East (Cankuzo, Rutana, Ruyigi )",2867.0,608.0,0.0
Burundi,2005.0,Subnat,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",8891.0,1745.0,18.79
Burundi,2005.0,Subnat,"Middle (Gitega, Karuzi, Muramvya, Mwaro)",8941.0,1811.0,2.6
Burundi,2005.0,Wealth quartiles,Lowest 25%,9258.0,2050.0,0.12
Burundi,2005.0,Wealth quartiles,Second 25%,9910.0,2049.0,0.5
Burundi,2005.0,Wealth quartiles,Third 25%,10420.0,2051.0,1.05
Burundi,2005.0,Wealth quartiles,Highest 25%,11045.0,2050.0,17.82
Burundi,2010.0,National,Total,42420.0,8779.0,9.94
Burundi,2010.0,Urb/rur,Rural,38203.0,7983.0,0.0
Burundi,2010.0,Urb/rur,Urban,4217.0,796.0,100.0
Burundi,2010.0,Poverty,Nonpoor,2162.0,341.0,87.03
Burundi,2010.0,Poverty,Poor,40251.0,8437.0,5.79
Burundi,2010.0,Subnat,"North (Kayanza, Kirundo, Muyinga, Ngozi)",12203.0,2697.0,3.3
Burundi,2010.0,Subnat,"South (Bururi, Makamba)",6146.0,1145.0,5.02
Burundi,2010.0,Subnat,"East (Cankuzo, Rutana, Ruyigi )",5072.0,1043.0,2.14
Burundi,2010.0,Subnat,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",10421.0,2044.0,30.19
Burundi,2010.0,Subnat,"Middle (Gitega, Karuzi, Muramvya, Mwaro)",8579.0,1850.0,2.93
Burundi,2010.0,Wealth quartiles,Lowest 25%,8811.0,2194.0,1.62
Burundi,2010.0,Wealth quartiles,Second 25%,10371.0,2195.0,1.63
Burundi,2010.0,Wealth quartiles,Third 25%,11141.0,2194.0,1.72
Burundi,2010.0,Wealth quartiles,Highest 25%,12097.0,2195.0,30.7
Burundi,2017.0,National,Total,77817.0,15977.0,11.03
Burundi,2017.0,Urb/rur,Rural,69235.0,14226.0,0.0
Burundi,2017.0,Urb/rur,Urban,8582.0,1751.0,100.0
Burundi,2017.0,Poverty,Nonpoor,5255.0,885.0,79.54
Burundi,2017.0,Poverty,Poor,72562.0,15092.0,6.07
Burundi,2017.0,Subnat,"North (Kayanza, Kirundo, Muyinga, Ngozi)",23193.0,5037.0,4.8
Burundi,2017.0,Subnat,"South (Bururi, Makamba)",11706.0,2161.0,7.61
Burundi,2017.0,Subnat,"East (Cankuzo, Rutana, Ruyigi )",9665.0,1921.0,3.77
Burundi,2017.0,Subnat,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",17840.0,3573.0,30.74
Burundi,2017.0,Subnat,"Middle (Gitega, Karuzi, Muramvya, Mwaro)",15413.0,3285.0,4.74
Burundi,2017.0,Wealth quartiles,Lowest 25%,16363.0,3994.0,1.28
Burundi,2017.0,Wealth quartiles,Second 25%,18686.0,3995.0,0.86
Burundi,2017.0,Wealth quartiles,Third 25%,21019.0,3994.0,1.9
Burundi,2017.0,Wealth quartiles,Highest 25%,21748.0,3994.0,35.92
Benin,1996.0,National,Total,27892.0,4555.0,36.92
Benin,1996.0,Urb/rur,Rural,17593.0,2800.0,0.0
Benin,1996.0,Urb/rur,Urban,10299.0,1755.0,100.0
Benin,1996.0,Poverty,Nonpoor,3392.0,499.0,89.62
Benin,1996.0,Poverty,Poor,24395.0,4044.0,29.69
Benin,1996.0,Subnat,Atacora (incl Donga),4609.0,592.0,35.55
Benin,1996.0,Subnat,Atlantique (incl Littoral (Cotonou)),5415.0,1019.0,57.18
Benin,1996.0,Subnat,Borgou (incl Alibori),5706.0,784.0,34.01
Benin,1996.0,Subnat,Mono (incl Couffo),3684.0,617.0,22.61
Benin,1996.0,Subnat,Queme (incl Plateau),4390.0,812.0,40.95
Benin,1996.0,Subnat,Zou (incl Collines),4087.0,732.0,24.26
Benin,1996.0,Wealth quartiles,Lowest 25%,7427.0,1139.0,13.58
Benin,1996.0,Wealth quartiles,Second 25%,6801.0,1139.0,18.96
Benin,1996.0,Wealth quartiles,Third 25%,6905.0,1140.0,34.34
Benin,1996.0,Wealth quartiles,Highest 25%,6759.0,1138.0,83.29
Benin,2001.0,National,Total,30417.0,5738.0,36.33
Benin,2001.0,Urb/rur,Rural,19367.0,3603.0,0.0
Benin,2001.0,Urb/rur,Urban,11050.0,2135.0,100.0
Benin,2001.0,Poverty,Nonpoor,4292.0,746.0,87.41
Benin,2001.0,Poverty,Poor,25983.0,4969.0,27.95
Benin,2001.0,Subnat,Atacora (incl Donga),4010.0,666.0,32.49
Benin,2001.0,Subnat,Atlantique (incl Littoral (Cotonou)),6412.0,1339.0,61.66
Benin,2001.0,Subnat,Borgou (incl Alibori),5226.0,855.0,35.08
Benin,2001.0,Subnat,Mono (incl Couffo),3557.0,761.0,17.96
Benin,2001.0,Subnat,Queme (incl Plateau),5046.0,1009.0,41.67
Benin,2001.0,Subnat,Zou (incl Collines),6165.0,1107.0,19.77
Benin,2001.0,Wealth quartiles,Lowest 25%,7671.0,1427.0,16.6
Benin,2001.0,Wealth quartiles,Second 25%,7445.0,1444.0,15.77
Benin,2001.0,Wealth quartiles,Third 25%,7872.0,1433.0,29.11
Benin,2001.0,Wealth quartiles,Highest 25%,7430.0,1434.0,84.96
Benin,2006.0,National,Total,89694.0,17511.0,37.69
Benin,2006.0,Urb/rur,Rural,55890.0,10444.0,0.0
Benin,2006.0,Urb/rur,Urban,33804.0,7067.0,100.0
Benin,2006.0,Poverty,Nonpoor,15711.0,2914.0,81.32
Benin,2006.0,Poverty,Poor,73942.0,14589.0,28.42
Benin,2006.0,Subnat,Atacora (incl Donga),10888.0,1651.0,37.39
Benin,2006.0,Subnat,Atlantique (incl Littoral (Cotonou)),17646.0,4193.0,63.43
Benin,2006.0,Subnat,Borgou (incl Alibori),15373.0,2432.0,34.05
Benin,2006.0,Subnat,Mono (incl Couffo),12608.0,2338.0,20.27
Benin,2006.0,Subnat,Queme (incl Plateau),16371.0,3344.0,38.63
Benin,2006.0,Subnat,Zou (incl Collines),16808.0,3553.0,26.34
Benin,2006.0,Wealth quartiles,Lowest 25%,22603.0,4378.0,16.86
Benin,2006.0,Wealth quartiles,Second 25%,23179.0,4377.0,18.64
Benin,2006.0,Wealth quartiles,Third 25%,22470.0,4378.0,37.72
Benin,2006.0,Wealth quartiles,Highest 25%,21442.0,4378.0,80.2
Benin,2011.0,National,Total,88172.0,17709.0,41.73
Benin,2011.0,Urb/rur,Rural,51382.0,9884.0,0.0
Benin,2011.0,Urb/rur,Urban,36790.0,7825.0,100.0
Benin,2011.0,Poverty,Nonpoor,23549.0,4774.0,83.28
Benin,2011.0,Poverty,Poor,64623.0,12935.0,26.58
Benin,2011.0,Subnat,Atacora (incl Donga),12485.0,1904.0,34.18
Benin,2011.0,Subnat,Atlantique (incl Littoral (Cotonou)),21285.0,4934.0,70.41
Benin,2011.0,Subnat,Borgou (incl Alibori),13031.0,2170.0,36.44
Benin,2011.0,Subnat,Mono (incl Couffo),10926.0,2298.0,23.9
Benin,2011.0,Subnat,Queme (incl Plateau),16290.0,3347.0,38.86
Benin,2011.0,Subnat,Zou (incl Collines),14154.0,3056.0,27.17
Benin,2011.0,Wealth quartiles,Lowest 25%,23312.0,4427.0,16.51
Benin,2011.0,Wealth quartiles,Second 25%,23092.0,4427.0,18.16
Benin,2011.0,Wealth quartiles,Third 25%,21809.0,4428.0,48.45
Benin,2011.0,Wealth quartiles,Highest 25%,19959.0,4427.0,91.1
Benin,2018.0,National,Total,74379.0,14156.0,40.17
Benin,2018.0,Urb/rur,Rural,44501.0,8052.0,0.0
Benin,2018.0,Urb/rur,Urban,29878.0,6104.0,100.0
Benin,2018.0,Poverty,Nonpoor,17289.0,3213.0,70.41
Benin,2018.0,Poverty,Poor,57090.0,10943.0,31.01
Benin,2018.0,Subnat,Atacora (incl Donga),11357.0,1664.0,37.14
Benin,2018.0,Subnat,Atlantique (incl Littoral (Cotonou)),12599.0,2820.0,59.42
Benin,2018.0,Subnat,Borgou (incl Alibori),18631.0,2689.0,32.25
Benin,2018.0,Subnat,Mono (incl Couffo),8660.0,1986.0,34.65
Benin,2018.0,Subnat,Queme (incl Plateau),11434.0,2617.0,53.67
Benin,2018.0,Subnat,Zou (incl Collines),11698.0,2379.0,25.87
Benin,2018.0,Wealth quartiles,Lowest 25%,20643.0,3539.0,26.47
Benin,2018.0,Wealth quartiles,Second 25%,19328.0,3539.0,20.23
Benin,2018.0,Wealth quartiles,Third 25%,17966.0,3540.0,40.76
Benin,2018.0,Wealth quartiles,Highest 25%,16441.0,3538.0,80.16
Burkina Faso,1998.0,National,Total,32181.0,4712.0,14.31
Burkina Faso,1998.0,Urb/rur,Rural,27577.0,3908.0,0.0
Burkina Faso,1998.0,Urb/rur,Urban,4604.0,804.0,100.0
Burkina Faso,1998.0,Poverty,Nonpoor,1284.0,186.0,98.01
Burkina Faso,1998.0,Poverty,Poor,30823.0,4518.0,10.83
Burkina Faso,1998.0,Subnat,Boucle de Mouhoun,3654.0,574.0,1.47
Burkina Faso,1998.0,Subnat,Cascades,684.0,89.0,7.84
Burkina Faso,1998.0,Subnat,Centre (incl Ouagadougou),2643.0,452.0,84.43
Burkina Faso,1998.0,Subnat,Centre-Est,2672.0,394.0,15.53
Burkina Faso,1998.0,Subnat,Centre-Nord,4110.0,586.0,4.95
Burkina Faso,1998.0,Subnat,Centre-Ouest,2999.0,383.0,6.47
Burkina Faso,1998.0,Subnat,Centre-Sud,1516.0,215.0,2.79
Burkina Faso,1998.0,Subnat,Est,3415.0,450.0,0.0
Burkina Faso,1998.0,Subnat,Hauts Bassins,3040.0,474.0,36.08
Burkina Faso,1998.0,Subnat,Nord,3356.0,494.0,7.76
Burkina Faso,1998.0,Subnat,Plateau Central,1978.0,258.0,0.0
Burkina Faso,1998.0,Subnat,Sahel,1375.0,220.0,0.0
Burkina Faso,1998.0,Subnat,Sud-Ouest,737.0,123.0,7.18
Burkina Faso,1998.0,Wealth quartiles,Lowest 25%,9358.0,1234.0,0.23
Burkina Faso,1998.0,Wealth quartiles,Second 25%,7316.0,1119.0,0.37
Burkina Faso,1998.0,Wealth quartiles,Third 25%,8105.0,1185.0,2.71
Burkina Faso,1998.0,Wealth quartiles,Highest 25%,7402.0,1175.0,58.57
Burkina Faso,2003.0,National,Total,60767.0,9265.0,18.06
Burkina Faso,2003.0,Urb/rur,Rural,49791.0,7368.0,0.0
Burkina Faso,2003.0,Urb/rur,Urban,10976.0,1897.0,100.0
Burkina Faso,2003.0,Poverty,Nonpoor,5050.0,805.0,95.07
Burkina Faso,2003.0,Poverty,Poor,55499.0,8427.0,11.08
Burkina Faso,2003.0,Subnat,Boucle de Mouhoun,4964.0,738.0,8.11
Burkina Faso,2003.0,Subnat,Cascades,2071.0,321.0,25.43
Burkina Faso,2003.0,Subnat,Centre (incl Ouagadougou),6698.0,1169.0,80.27
Burkina Faso,2003.0,Subnat,Centre-Est,5115.0,869.0,10.43
Burkina Faso,2003.0,Subnat,Centre-Nord,5063.0,794.0,5.03
Burkina Faso,2003.0,Subnat,Centre-Ouest,4545.0,484.0,11.89
Burkina Faso,2003.0,Subnat,Centre-Sud,3675.0,608.0,2.66
Burkina Faso,2003.0,Subnat,Est,4715.0,837.0,2.97
Burkina Faso,2003.0,Subnat,Hauts Bassins,7683.0,911.0,31.59
Burkina Faso,2003.0,Subnat,Nord,5774.0,951.0,7.68
Burkina Faso,2003.0,Subnat,Plateau Central,3285.0,426.0,0.0
Burkina Faso,2003.0,Subnat,Sahel,4065.0,765.0,2.27
Burkina Faso,2003.0,Subnat,Sud-Ouest,3113.0,392.0,4.52
Burkina Faso,2003.0,Wealth quartiles,Lowest 25%,13618.0,2322.0,0.42
Burkina Faso,2003.0,Wealth quartiles,Second 25%,16144.0,2307.0,1.23
Burkina Faso,2003.0,Wealth quartiles,Third 25%,16493.0,2318.0,4.09
Burkina Faso,2003.0,Wealth quartiles,Highest 25%,14512.0,2317.0,69.22
Burkina Faso,2010.0,National,Total,82095.0,14377.0,22.3
Burkina Faso,2010.0,Urb/rur,Rural,63785.0,10803.0,0.0
Burkina Faso,2010.0,Urb/rur,Urban,18310.0,3574.0,100.0
Burkina Faso,2010.0,Poverty,Nonpoor,10656.0,1859.0,87.22
Burkina Faso,2010.0,Poverty,Poor,71440.0,12518.0,12.62
Burkina Faso,2010.0,Subnat,Boucle de Mouhoun,9192.0,1622.0,7.82
Burkina Faso,2010.0,Subnat,Cascades,3250.0,561.0,27.2
Burkina Faso,2010.0,Subnat,Centre (incl Ouagadougou),9863.0,1823.0,84.23
Burkina Faso,2010.0,Subnat,Centre-Est,6309.0,1110.0,16.13
Burkina Faso,2010.0,Subnat,Centre-Nord,6343.0,1171.0,7.39
Burkina Faso,2010.0,Subnat,Centre-Ouest,6294.0,986.0,14.04
Burkina Faso,2010.0,Subnat,Centre-Sud,4015.0,677.0,9.81
Burkina Faso,2010.0,Subnat,Est,7796.0,1197.0,6.5
Burkina Faso,2010.0,Subnat,Hauts Bassins,8948.0,1705.0,37.43
Burkina Faso,2010.0,Subnat,Nord,6103.0,1029.0,11.77
Burkina Faso,2010.0,Subnat,Plateau Central,3977.0,649.0,7.95
Burkina Faso,2010.0,Subnat,Sahel,6507.0,1243.0,5.28
Burkina Faso,2010.0,Subnat,Sud-Ouest,3498.0,603.0,11.49
Burkina Faso,2010.0,Wealth quartiles,Lowest 25%,21121.0,3594.0,1.83
Burkina Faso,2010.0,Wealth quartiles,Second 25%,20525.0,3594.0,3.94
Burkina Faso,2010.0,Wealth quartiles,Third 25%,21353.0,3595.0,12.86
Burkina Faso,2010.0,Wealth quartiles,Highest 25%,19096.0,3593.0,75.25
Botswana,2000.0,National,Total,27508.0,6188.0,51.14
Botswana,2000.0,Urb/rur,Rural,13441.0,2843.0,0.0
Botswana,2000.0,Urb/rur,Urban,14067.0,3345.0,100.0
Botswana,2000.0,Poverty,Nonpoor,7909.0,1709.0,77.94
Botswana,2000.0,Poverty,Poor,19576.0,4472.0,40.26
Botswana,2000.0,Subnat,Central,8840.0,1859.0,39.63
Botswana,2000.0,Subnat,Ghanzi,483.0,112.0,21.2
Botswana,2000.0,Subnat,Kgalagadi,759.0,182.0,0.0
Botswana,2000.0,Subnat,Kgatleng,1371.0,294.0,62.75
Botswana,2000.0,Subnat,Kweneng,3218.0,785.0,51.99
Botswana,2000.0,Subnat,North-East,2497.0,583.0,59.74
Botswana,2000.0,Subnat,"North-West, Ngamiland",2506.0,456.0,41.6
Botswana,2000.0,Subnat,South-East,4322.0,1150.0,95.01
Botswana,2000.0,Subnat,Southern,3494.0,756.0,36.84
Botswana,2000.0,Subnat,Chobe,17.0,9.0,0.0
Botswana,2000.0,Wealth quartiles,Lowest 25%,6291.0,1362.0,10.03
Botswana,2000.0,Wealth quartiles,Second 25%,7206.0,1750.0,48.07
Botswana,2000.0,Wealth quartiles,Third 25%,6985.0,1529.0,63.88
Botswana,2000.0,Wealth quartiles,Highest 25%,7003.0,1541.0,78.38
Botswana,2001.0,National,Total,166303.0,40543.0,
Botswana,2001.0,Poverty,Nonpoor,55781.0,13616.0,
Botswana,2001.0,Poverty,Poor,110279.0,26857.0,
Botswana,2001.0,Subnat,Central,55899.0,12924.0,
Botswana,2001.0,Subnat,Ghanzi,3223.0,783.0,
Botswana,2001.0,Subnat,Kgalagadi,4177.0,969.0,
Botswana,2001.0,Subnat,Kgatleng,7468.0,1706.0,
Botswana,2001.0,Subnat,Kweneng,22874.0,5273.0,
Botswana,2001.0,Subnat,North-East,13061.0,3396.0,
Botswana,2001.0,Subnat,"North-West, Ngamiland",12143.0,2658.0,
Botswana,2001.0,Subnat,South-East,27038.0,8183.0,
Botswana,2001.0,Subnat,Southern,18827.0,4191.0,
Botswana,2001.0,Subnat,Chobe,1593.0,460.0,
Botswana,2001.0,Wealth quartiles,Lowest 25%,42214.0,10145.0,
Botswana,2001.0,Wealth quartiles,Second 25%,41966.0,10602.0,
Botswana,2001.0,Wealth quartiles,Third 25%,40352.0,9613.0,
Botswana,2001.0,Wealth quartiles,Highest 25%,41528.0,10113.0,
Botswana,2011.0,National,Total,194197.0,55141.0,
Botswana,2011.0,Poverty,Nonpoor,111543.0,31489.0,
Botswana,2011.0,Poverty,Poor,82654.0,23652.0,
Botswana,2011.0,Subnat,Central,61162.0,16828.0,
Botswana,2011.0,Subnat,Ghanzi,3925.0,1141.0,
Botswana,2011.0,Subnat,Kgalagadi,4623.0,1349.0,
Botswana,2011.0,Subnat,Kgatleng,9097.0,2490.0,
Botswana,2011.0,Subnat,Kweneng,29687.0,8067.0,
Botswana,2011.0,Subnat,North-East,15253.0,4718.0,
Botswana,2011.0,Subnat,"North-West, Ngamiland",14640.0,3568.0,
Botswana,2011.0,Subnat,South-East,32757.0,10820.0,
Botswana,2011.0,Subnat,Southern,20952.0,5477.0,
Botswana,2011.0,Subnat,Chobe,2101.0,683.0,
Botswana,2011.0,Wealth quartiles,Lowest 25%,47544.0,13824.0,
Botswana,2011.0,Wealth quartiles,Second 25%,47881.0,13805.0,
Botswana,2011.0,Wealth quartiles,Third 25%,47887.0,13730.0,
Botswana,2011.0,Wealth quartiles,Highest 25%,50885.0,13782.0,
Botswana,2013.0,National,Total,2400.0,2400.0,63.24
Botswana,2013.0,Urb/rur,Rural,882.0,882.0,0.0
Botswana,2013.0,Urb/rur,Urban,1518.0,1518.0,100.0
Botswana,2013.0,Poverty,Nonpoor,1574.0,1574.0,77.25
Botswana,2013.0,Poverty,Poor,813.0,813.0,35.87
Botswana,2013.0,Subnat,Central,753.0,753.0,52.93
Botswana,2013.0,Subnat,Ghanzi,52.0,52.0,34.35
Botswana,2013.0,Subnat,Kgalagadi,61.0,61.0,29.69
Botswana,2013.0,Subnat,Kgatleng,110.0,110.0,62.39
Botswana,2013.0,Subnat,Kweneng,364.0,364.0,70.52
Botswana,2013.0,Subnat,North-East,189.0,189.0,70.52
Botswana,2013.0,Subnat,"North-West, Ngamiland",179.0,179.0,50.57
Botswana,2013.0,Subnat,South-East,407.0,407.0,98.25
Botswana,2013.0,Subnat,Southern,258.0,258.0,48.07
Botswana,2013.0,Subnat,Chobe,28.0,28.0,38.09
Botswana,2013.0,Wealth quartiles,Lowest 25%,609.0,609.0,29.03
Botswana,2013.0,Wealth quartiles,Second 25%,583.0,583.0,64.38
Botswana,2013.0,Wealth quartiles,Third 25%,610.0,610.0,72.05
Botswana,2013.0,Wealth quartiles,Highest 25%,585.0,585.0,88.23
Cote d'Ivoire,1994.0,National,Total,38784.0,5932.0,37.44
Cote d'Ivoire,1994.0,Urb/rur,Rural,24263.0,3516.0,0.0
Cote d'Ivoire,1994.0,Urb/rur,Urban,14522.0,2416.0,100.0
Cote d'Ivoire,1994.0,Poverty,Nonpoor,11556.0,1413.0,76.04
Cote d'Ivoire,1994.0,Poverty,Poor,27085.0,4501.0,21.05
Cote d'Ivoire,1994.0,Subnat,Centre,3002.0,396.0,24.41
Cote d'Ivoire,1994.0,Subnat,Centre Est,1333.0,149.0,21.59
Cote d'Ivoire,1994.0,Subnat,Centre Nord,2904.0,483.0,38.27
Cote d'Ivoire,1994.0,Subnat,Centre Ouest,5664.0,785.0,18.88
Cote d'Ivoire,1994.0,Subnat,Nord,2409.0,420.0,27.31
Cote d'Ivoire,1994.0,Subnat,Nord Est,1711.0,214.0,22.14
Cote d'Ivoire,1994.0,Subnat,Nord Ouest,1820.0,261.0,19.88
Cote d'Ivoire,1994.0,Subnat,Ouest,3923.0,572.0,18.08
Cote d'Ivoire,1994.0,Subnat,"Sud, Abidjan",13678.0,2225.0,64.04
Cote d'Ivoire,1994.0,Subnat,Sud Ouest,2340.0,426.0,19.34
Cote d'Ivoire,1994.0,Wealth quartiles,Lowest 25%,9313.0,1481.0,1.63
Cote d'Ivoire,1994.0,Wealth quartiles,Second 25%,10376.0,1485.0,9.43
Cote d'Ivoire,1994.0,Wealth quartiles,Third 25%,8436.0,1482.0,53.89
Cote d'Ivoire,1994.0,Wealth quartiles,Highest 25%,10659.0,1483.0,82.98
Cote d'Ivoire,1999.0,National,Total,13139.0,2037.0,36.82
Cote d'Ivoire,1999.0,Urb/rur,Rural,8301.0,1212.0,0.0
Cote d'Ivoire,1999.0,Urb/rur,Urban,4838.0,825.0,100.0
Cote d'Ivoire,1999.0,Poverty,Nonpoor,3030.0,371.0,80.49
Cote d'Ivoire,1999.0,Poverty,Poor,10106.0,1666.0,23.71
Cote d'Ivoire,1999.0,Subnat,Centre,1083.0,134.0,20.36
Cote d'Ivoire,1999.0,Subnat,Centre Est,582.0,66.0,6.78
Cote d'Ivoire,1999.0,Subnat,Centre Nord,686.0,125.0,50.11
Cote d'Ivoire,1999.0,Subnat,Centre Ouest,1880.0,290.0,14.39
Cote d'Ivoire,1999.0,Subnat,Nord,642.0,115.0,37.0
Cote d'Ivoire,1999.0,Subnat,Nord Est,853.0,97.0,9.42
Cote d'Ivoire,1999.0,Subnat,Nord Ouest,977.0,134.0,18.44
Cote d'Ivoire,1999.0,Subnat,Ouest,1397.0,218.0,8.43
Cote d'Ivoire,1999.0,Subnat,"Sud, Abidjan",4497.0,753.0,71.82
Cote d'Ivoire,1999.0,Subnat,Sud Ouest,541.0,104.0,21.77
Cote d'Ivoire,1999.0,Wealth quartiles,Lowest 25%,3515.0,510.0,0.51
Cote d'Ivoire,1999.0,Wealth quartiles,Second 25%,3205.0,510.0,11.27
Cote d'Ivoire,1999.0,Wealth quartiles,Third 25%,2917.0,509.0,52.77
Cote d'Ivoire,1999.0,Wealth quartiles,Highest 25%,3502.0,509.0,83.36
Cote d'Ivoire,2005.0,National,Total,24966.0,4309.0,42.13
Cote d'Ivoire,2005.0,Urb/rur,Rural,14448.0,2396.0,0.0
Cote d'Ivoire,2005.0,Urb/rur,Urban,10518.0,1913.0,100.0
Cote d'Ivoire,2005.0,Poverty,Nonpoor,7870.0,1213.0,75.92
Cote d'Ivoire,2005.0,Poverty,Poor,16964.0,3066.0,26.44
Cote d'Ivoire,2005.0,Subnat,Centre,2524.0,356.0,42.68
Cote d'Ivoire,2005.0,Subnat,Centre Est,608.0,127.0,42.21
Cote d'Ivoire,2005.0,Subnat,Centre Nord,1409.0,286.0,49.79
Cote d'Ivoire,2005.0,Subnat,Centre Ouest,2970.0,485.0,32.01
Cote d'Ivoire,2005.0,Subnat,Nord,1425.0,260.0,34.74
Cote d'Ivoire,2005.0,Subnat,Nord Est,1264.0,201.0,8.55
Cote d'Ivoire,2005.0,Subnat,Nord Ouest,780.0,147.0,15.82
Cote d'Ivoire,2005.0,Subnat,Ouest,2081.0,362.0,20.01
Cote d'Ivoire,2005.0,Subnat,"Sud, Abidjan",10354.0,1780.0,58.45
Cote d'Ivoire,2005.0,Subnat,Sud Ouest,1551.0,306.0,21.74
