Variable,Category,Dtype,Decimals,RankOrder,Label,Shortdescr,Longdescr
iwipov50,"Wealth, Poverty, Assets",Pct,,A,Poverty (IWI<50),% poorer households (with IWI value under 50),Percentage of households with an International Wealth Index value under 50
iwipov35,"Wealth, Poverty, Assets",Pct,,A,Poverty (IWI<35),% poorest households (with IWI value under 35),Percentage of households with an International Wealth Index value under 35
tv,"Wealth, Poverty, Assets",Pct,,A,TV,% households with a TV,Percentage of households with a TV in region
fridge,"Wealth, Poverty, Assets",Pct,,A,Refrigerator,% households with a refrigerator,Percentage of households with a refrigerator in region
washmach,"Wealth, Poverty, Assets",Pct,,A,Washing machine,% households with a washing machine,Percentage of households with a washing machine in region
computer,"Wealth, Poverty, Assets",Pct,,A,Computer,% households with a computer,Percentage of households with a computer in region
internet,"Wealth, Poverty, Assets",Pct,,A,Internet,% households with internet access,Percentage of households with internet access in region
cellphone,"Wealth, Poverty, Assets",Pct,,A,Cellphone,% households with a cellphone,Percentage of households with a cellphone in region
phone,"Wealth, Poverty, Assets",Pct,,A,Phone (all),% households with a phone,Percentage of households with a phone in region
motor,"Wealth, Poverty, Assets",Pct,,A,Motorbike,% households with a motorbike,Percentage of households with a motorbike in region
gini,Inequality,Pct,,A,Gini coefficient,Gini coefficient wealth inequality,Gini coefficient wealth inequality
theilt,Inequality,Pct,,A,Theil-T,Theil-T wealth inequality,Theil-T wealth inequality
thtwithin,Inequality,Pct,,A,Inequality within groups (THT),Wealth inequality within groups (THeil-T),Wealth inequality within groups (THeil-T)
thtbetween,Inequality,Pct,,A,Inequality between groups (THT),Wealth inequality between groups (THeil-T),Wealth inequality between groups (THeil-T)
urban,Urbanization,Pct,,A,Urbanization,% population in urban areas,% of population living in urban areas in region
edyr20,Years of education,Pos,,A,Adults 20+,Mean years education of adults aged 20+,Mean years education of adults aged 20+ in region
womedyr20,Years of education,Pos,,A,Females 20+,Mean years education of women aged 20+,Mean years education of women aged 20+ in region
menedyr20,Years of education,Pos,,A,Males 20+,Mean years education of men aged 20+,Mean years education of men aged 20+ in region
edyr25,Years of education,Pos,,A,Adults 25+,Mean years education of adults aged 25+,Mean years education of adults aged 25+ in region
womedyr25,Years of education,Pos,,A,Females 25+,Mean years education of women aged 25+,Mean years education of women aged 25+ in region
menedyr25,Years of education,Pos,,A,Males 25+,Mean years education of men aged 25+,Mean years education of men aged 25+ in region
edyr2039,Years of education,Pos,,A,Adults 20-39,Mean years education of adults aged 20-39,Mean years education of adults aged 20-39 in region
womedyr2039,Years of education,Pos,,A,Females 20-39,Mean years education of women aged 20-39,Mean years education of women aged 20-39 in region
menedyr2039,Years of education,Pos,,A,Males 20-39,Mean years education of men aged 20-39,Mean years education of men aged 20-39 in region
edyr4059,Years of education,Pos,,A,Adults 40-59,Mean years education of adults aged 40-59,Mean years education of adults aged 40-59 in region
womedyr4059,Years of education,Pos,,A,Females 40-59,Mean years education of women aged 40-59,Mean years education of women aged 40-59 in region
menedyr4059,Years of education,Pos,,A,Males 40-59,Mean years education of men aged 40-59,Mean years education of men aged 40-59 in region
edyr60,Years of education,Pos,,A,Adults 60+,Mean years education of adults aged 60+,Mean years education of adults aged 60+ in region
womedyr60,Years of education,Pos,,A,Females 60+,Mean years education of women aged 60+,Mean years education of women aged 60+ in region
menedyr60,Years of education,Pos,,A,Males 60+,Mean years education of men aged 60+,Mean years education of men aged 60+ in region
lprimary,Educational attendance,Pct,,A,Children 6-8,Educational attendance children 6-8,"Percentage of children aged 6-8 that currently attends, or in the current school year attended, school"
uprimary,Educational attendance,Pct,,A,Children 9-11,Educational attendance children 9-11,"Percentage of children aged 9-11 that currently attends, or in the current school year attended, school"
lsecondary,Educational attendance,Pct,,A,Children 12-14,Educational attendance children 12-14,"Percentage of children aged 12-14 that currently attends, or in the current school year attended, school"
usecondary,Educational attendance,Pct,,A,Children 15-17,Educational attendance children 15-17,"Percentage of children aged 15-17 that currently attends, or in the current school year attended, school"
ltertiary,Educational attendance,Pct,,A,Children 18-20,Educational attendance children 18-20,"Percentage of children aged 18-20 that currently attends, or in the current school year attended, school"
utertiary,Educational attendance,Pct,,A,Children 21-23,Educational attendance children 21-23,"Percentage of children aged 21-23 that currently attends, or in the current school year attended, school"
lprimaryg,Educational attendance,Pct,,A,Girls 6-8,Educational attendance girls 6-8,"Percentage of girls aged 6-8 that currently attends, or in the current school year attended, school"
uprimaryg,Educational attendance,Pct,,A,Girls 9-11,Educational attendance girls 9-11,"Percentage of girls aged 9-11 that currently attends, or in the current school year attended, school"
lsecondaryg,Educational attendance,Pct,,A,Girls 12-14,Educational attendance girls 12-14,"Percentage of girls aged 12-14 that currently attends, or in the current school year attended, school"
usecondaryg,Educational attendance,Pct,,A,Girls 15-17,Educational attendance girls 15-17,"Percentage of girls aged 15-17 that currently attends, or in the current school year attended, school"
ltertiaryg,Educational attendance,Pct,,A,Girls 18-20,Educational attendance girls 18-20,"Percentage of girls aged 18-20 that currently attends, or in the current school year attended, school"
utertiaryg,Educational attendance,Pct,,A,Girls 21-23,Educational attendance girls 21-23,"Percentage of girls aged 21-23 that currently attends, or in the current school year attended, school"
lprimaryb,Educational attendance,Pct,,A,Boys 6-8,Educational attendance boys 6-8,"Percentage of boys aged 6-8 that currently attends, or in the current school year attended, school"
uprimaryb,Educational attendance,Pct,,A,Boys 9-11,Educational attendance boys 9-11,"Percentage of boys aged 9-11 that currently attends, or in the current school year attended, school"
lsecondaryb,Educational attendance,Pct,,A,Boys 12-14,Educational attendance boys 12-14,"Percentage of boys aged 12-14 that currently attends, or in the current school year attended, school"
usecondaryb,Educational attendance,Pct,,A,Boys 15-17,Educational attendance boys 15-17,"Percentage of boys aged 15-17 that currently attends, or in the current school year attended, school"
ltertiaryb,Educational attendance,Pct,,A,Boys 18-20,Educational attendance boys 18-20,"Percentage of boys aged 18-20 that currently attends, or in the current school year attended, school"
utertiaryb,Educational attendance,Pct,,A,Boys 21-23,Educational attendance boys 21-23,"Percentage of boys aged 21-23 that currently attends, or in the current school year attended, school"
eye,Educational attendance,Pos,,A,Expected years of schooling,Expected years of schooling at age 6,Expected years of schooling at age 6
eyef,Educational attendance,Pos,,A,Expected years of schooling girls,Expected years of schooling at age 6 girls,Expected years of schooling at age 6 girls
eyem,Educational attendance,Pos,,A,Expected years of schooling boys,Expected years of schooling at age 6 boys,Expected years of schooling at age 6 boys
workwom,Work,Pos,,A,Women with paid employment,Percentage of women in paid employment,Percentage of women in paid employment
wagri,Work,Pos,,A,Women working in agriculture,Percentage of employed women in agriculture,Percentage of employed women who work in agriculture
wwrklow,Work,Pos,,A,Women working in lower nonfarm jobs,Percentage of employed women in lower nonfarm jobs,"Percentage of employed women who work in lower nonfarm jobs (clerical, sales, services, manual labor)"
wwrkhigh,Work,Pos,,A,Women working in upper nonfarm jobs,Percentage of employed women in upper nonfarm jobs,"Percentage of employed women who work in upper nonfarm jobs (professional, managerial, technical)"
hagri,Work,Pos,,A,Men working in agriculture,Percentage of employed men in agriculture,Percentage of employed men who work in agriculture
hwrklow,Work,Pos,,A,Men working in lower nonfarm jobs,Percentage of employed men in lower nonfarm jobs,"Percentage of employed men who work in lower nonfarm jobs (clerical, sales, services, manual labor)"
hwrkhigh,Work,Pos,,A,Men working in upper nonfarm jobs,Percentage of employed men in upper nonfarm jobs,"Percentage of employed men who work in upper nonfarm jobs (professional, managerial, technical)"
agedifmar,Gender,Flt,,A,Age diff in marriage,Mean age difference partners (husband-wife),Mean age difference between partners in region (age male household head minus age female partner of head)
agemarw20,Gender,Flt,,A,Age marriage women,Mean age at first marriage of women aged 20-50,Mean age at first marriage of women aged 20-50 in region
age1chw20,Gender,Flt,,A,Age 1st birth women,Mean age at first birth of women aged 20-50,Mean age at first birth of women aged 20-50 in region
womo50,Gender,Pct,,A,% female in 50+ pop,% of women in 50+ population,Percentage of population aged 50+ that is woman in region
patrilocal,Gender,Flt,,A,Patrilocality Index,"Patrilocality Index (positive values patrilocal, negative values matrilocal)",Log of percentage patrilocal/percentage matrilocal in region. 
ppatloc,Gender,Pct,,A,% partilocal households, % of households where couple lives with parents of husband,Percentage of households where couple lives with parents of husband in region
pmatloc,Gender,Pct,,A,% matrilocal households,% of households where couple lives with parents of wife,Percentage of households where couple lives with parents of wife in region
tfr,Fertility,Pos,,A,TFR,Total Fertility Rate,Total fertility rate in three years before survey in region
asf1014,Fertility,Pos,,A,Asf 10-14,Age-specific fertility rate age 10-14,Age-specific fertility rate age 10-14 in three years before survey in region
asf1519,Fertility,Pos,,A,Asf 15-19,Age-specific fertility rate age 15-19,Age-specific fertility rate age 15-19 in three years before survey in region
asf2024,Fertility,Pos,,A,Asf 20-24,Age-specific fertility rate age 20-24,Age-specific fertility rate age 20-24 in three years before survey in region
asf2529,Fertility,Pos,,A,Asf 25-29,Age-specific fertility rate age 25-29,Age-specific fertility rate age 25-29 in three years before survey in region
asf3034,Fertility,Pos,,A,Asf 30-34,Age-specific fertility rate age 30-34,Age-specific fertility rate age 30-34 in three years before survey in region
asf3539,Fertility,Pos,,A,Asf 35-39,Age-specific fertility rate age 35-39,Age-specific fertility rate age 35-39 in three years before survey in region
asf4044,Fertility,Pos,,A,Asf 40-44,Age-specific fertility rate age 40-44,Age-specific fertility rate age 40-44 in three years before survey in region
asf4549,Fertility,Pos,,A,Asf 45-49,Age-specific fertility rate age 45-49,Age-specific fertility rate age 45-49 in three years before survey in region
stunting,Child stunting and wasting,Pct,,A,% Stunted,Percentage of stunted children,Percentage of children aged 0-59 months who are below minus two standard deviations from median height-for-age of the WHO Child Growth Standards
stuntingmod,Child stunting and wasting,Pct,,A,% Moderately stunted,Percentage of moderately stunted children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median height-for-age of the WHO Child Growth Standards
stuntingsev,Child stunting and wasting,Pct,,A,% Severely stunted,Percentage of severely stunted children,Percentage of children aged 0-59 months who are below minus three standard deviations from median height-for-age of the WHO Child Growth Standards
haz,Child stunting and wasting,Flt,,A,Height for age Z-score,Height-for-age z-score,Number of SD below or above the median height-for-age of the WHO Growth Standard
wasting,Child stunting and wasting,Pct,,A,% Wasted,Percentage of wasted children,Percentage of children aged 0-59 months who are below minus two standard deviations from median weight-for-height of the WHO Child Growth Standards
wastingmod,Child stunting and wasting,Pct,,A,% Moderately wasted,Percentage of moderately wasted children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median weight-for-height of the WHO Child Growth Standards
wastingsev,Child stunting and wasting,Pct,,A,% Severely wasted,Percentage of severely wasted children,Percentage of children aged 0-59 months who are below minus three standard deviations from median weight-for-height of the WHO Child Growth Standards
whz,Child stunting and wasting,Flt,* ---,A,Weight for height Z-score,Weight-for-height z-score,Number of SD below or above the median weight-for-height of the WHO Growth Standard
underweight,Child underweight and overweight,Pct,,A,% Underweight,Percentage of underweight children,Percentage of children aged 0-59 months who are below minus two standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
underweightmod,Child underweight and overweight,Pct,,A,% Moderately underweight,Percentage of moderately underweight children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
underweightsev,Child underweight and overweight,Pct,,A,% Severely underweight,Percentage of severely underweight children,Percentage of children aged 0-59 months who are below minus three standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
waz,Child underweight and overweight,Flt,,A,Weight for age Z-score,Weight-for-age z-score,Number of SD below or above the median weight-for-age of the WHO Growth Standard
overweight,Child underweight and overweight,Pct,,A,% Overweight,Percentage of overweight children,Percentage of children aged 0-59 months who are above two standard deviations from median weight-for-height of the WHO Child Growth Standards
obesity,Child underweight and overweight,Pct,,A,% Obese,Percentage of obese children,Percentage of children aged 0-59 months who are above three standard deviations from median weight-for-height of the WHO Child Growth Standards
bmiz,Child underweight and overweight,Flt,,A,BMI for age Z-score,BMI-for-age z-score,Number of SD below or above the median BMI-for-age of the WHO Growth Standard
bcgage1,Vaccinations children aged 1,Pct,,A,% BCG,% children aged 1 with BCG,Percentage of children aged 1 who received a BCG vaccination
dtp1age1,Vaccinations children aged 1,Pct,,A,% DTP1,% children aged 1 with DTP1,Percentage of children aged 1 who received a DTP1 vaccination
dtp2age1,Vaccinations children aged 1,Pct,,A,% DTP2,% children aged 1 with DTP2,Percentage of children aged 1 who received a DTP2 vaccination
dtp3age1,Vaccinations children aged 1,Pct,,A,% DTP3,% children aged 1 with DTP3,Percentage of children aged 1 who received a DTP3 vaccination
measlage1,Vaccinations children aged 1,Pct,,A,% measles,% children aged 1 with measles,Percentage of children aged 1 who received a measles vaccination
regpopm,Population,Pos,,A,Area pop millions,Total area population in millions,Total area population in millions
popshare,Population,Pct,,A,Area pop share,Share of population living in area,Share of national population living in area
age09,Population,Pct,,,% Aged 0-9,% population aged 0-9,Percentage of national population aged 0-9 in region
age1019,Population,Pct,,,% Aged 10-19,% population aged 10-19,Percentage of national population aged 10-19 in region
age2029,Population,Pct,,,% Aged 20-29,% population aged 20-29,Percentage of national population aged 20-29 in region
age3039,Population,Pct,,,% Aged 30-39,% population aged 30-39,Percentage of national population aged 30-39 in region
age4049,Population,Pct,,,% Aged 40-49,% population aged 40-49,Percentage of national population aged 40-49 in region
age5059,Population,Pct,,,% Aged 50-59,% population aged 50-59,Percentage of national population aged 50-59 in region
age6069,Population,Pct,,,% Aged 60-69,% population aged 60-69,Percentage of national population aged 60-69 in region
age7079,Population,Pct,,,% Aged 70-79,% population aged 70-79,Percentage of national population aged 70-79 in region
age8089,Population,Pct,,,% Aged 80-89,% population aged 80-89,Percentage of national population aged 80-89 in region
age90hi,Population,Pct,,,% Aged 90+,% population aged 90+,Percentage of national population aged 90+ in region
hhsize,Population,Pos,,A,HH size,Average household size,Average household size in region
depratio,Demographic window,Flt,,A,Dependency ratio,Dependency ratio,"Dependency ratio, dependend population compared to the working age population (15-64)"
youthdepr,Demographic window,Flt,,A,Youth depratio,Youth dependency ratio,"Youth dependency ratio, the young (<15) compared to the working age population (15-64)"
olddepr,Demographic window,Flt,,A,Old depratio,Old age dependency ratio,"Old age dependency ratio, the old (>64) compared to the working age populations (15-64)"
dwindowphase,Demographic window,Int,,,D-window phase,Demographic Window Phase,"Phase of Demographic Window: 1 Traditional phase (>40% under 15), 2 Pre-window phase (30-40% under 15), 3 Early-window phase (25-30% under 15), 4 Mid-window phase (20-25% under 15), 5 Late-window phase (<20% under 15 and <15% over 64), 6 Post-window phase (>15% over 64)"
popyoung,Demographic window,Pct,,A,% Pop <15,% population aged under 15,Percentage of population in region under age 15
popworkage,Demographic window,Pct,,A,% Pop 15-65,% population aged 15-65,Percentage of population in region aged 15 to 65
popold,Demographic window,Pct,,A,% Pop 65+,% population aged over 65,Percentage of population in region over 65
infmort,Child mortality,Pos,,A,INF mortality,Infant mortality rate,"Number of deaths of children less than one year of age, per 1000 live births in a given year"
u5mort,Child mortality,Pos,,A,U5 mortality,Under five mortality rate,"Number of children dying under five year of age, per 1,000 live births in a given year"
nnmort,Child mortality,Pos,,A,NN mortality,Neo-natal mortality rate,"Number of neonates dying before 28 days of age, per 1,000 live births in a given year"
pnnmort,Child mortality,Pos,,A,PN mortality,Post-neonatal mortality rate,"Number of children dying between 29 days of age and one year, per 1,000 live births in a given year"
chmort,Child mortality,Pos,,A,CH mortality,Child mortality rate,"Number of children dying between 1 year of age and five year of age, per 1,000 live births in a given year"
pipedwater,Public services,Pct,,A,% Piped water,% household with piped water,Percentage of household with piped water in region
electr,Public services,Pct,,A,% Electricity,% households with electricity,Percentage of households with electricity in region
flushtoilet,Quality of housing,Pct,,A,% Flush toilet,% households with flush toilet,Percentage of households with flush toilet in region
smallhouse,Quality of housing,Pct,,A,% 0-1 sleep room,% households with none or one sleeping room,Percentage of households with none or one sleeping room in region
modsizehouse,Quality of housing,Pct,,A,% 2 sleep rooms,% households with two sleeping rooms,Percentage of households with two sleeping rooms in region
largehouse,Quality of housing,Pct,,A,% 3+ sleep rooms,% households with three or more sleeping rooms,Percentage of households with three or more sleeping rooms in region
naturalfloor,Quality of housing,Pct,,A,% Natural floor,"% households with a natural floor (earth, sand, dung etc)","Percentage of households with a natural floor (earth, sand, dung etc) in region"
cookwood,Quality of housing,Pct,,A,% Cook on wood,"% households cooking on wood, straw, grass, dung etc","Percentage of households cooking on wood, straw, grass, dung etc"
niwi,System,Flt,,,,Number of Cases Aggregation Mean International Wealth Index score of region,Mean International Wealth Index score of region
niwipov50,System,Flt,,,,Number of Cases Aggregation % poor households (with IWI value under 50),Percentage of households with an IWI value under 50
niwipov35,System,Flt,,,,Number of Cases Aggregation % poorest households (with IWI value under 35),Percentage of households with an IWI value under 35
nineq,System,Flt,,,,Number of Cases Aggregation Inequality Variables,Number of Cases Aggregation Inequality Variables
nedyr20,System,Flt,,,,Number of Cases Aggregation Mean years education of adults aged 20+,Mean years education of adults aged 20+ in region
nwomedyr20,System,Flt,,,,Number of Cases Aggregation Mean years education of women aged 20+,Mean years education of women aged 20+ in region
nmenedyr20,System,Flt,,,,Number of Cases Aggregation Mean years education of men aged 20+,Mean years education of men aged 20+ in region
nedyr25,System,Flt,,,,Number of Cases Aggregation Mean years education of adults aged 25+,Mean years education of adults aged 25+ in region
nwomedyr25,System,Flt,,,,Number of Cases Aggregation Mean years education of women aged 25+,Mean years education of women aged 25+ in region
nmenedyr25,System,Flt,,,,Number of Cases Aggregation Mean years education of men aged 25+,Mean years education of men aged 25+ in region
nedyr2039,System,Flt,,,,Number of Cases Aggregation Mean years education of adults aged 20-39,Mean years education of adults aged 20-39 in region
nwomedyr2039,System,Flt,,,,Number of Cases Aggregation Mean years education of women aged 20-39,Mean years education of women aged 20-39 in region
nmenedyr2039,System,Flt,,,,Number of Cases Aggregation Mean years education of men aged 20-39,Mean years education of men aged 20-39 in region
nedyr4059,System,Flt,,,,Number of Cases Aggregation Mean years education of adults aged 40-59,Mean years education of adults aged 40-59 in region
nwomedyr4059,System,Flt,,,,Number of Cases Aggregation Mean years education of women aged 40-59,Mean years education of women aged 40-59 in region
nmenedyr4059,System,Flt,,,,Number of Cases Aggregation Mean years education of men aged 40-59,Mean years education of men aged 40-59 in region
nedyr60,System,Flt,,,,Number of Cases Aggregation Mean years education of adults aged 60+,Mean years education of adults aged 60+ in region
nwomedyr60,System,Flt,,,,Number of Cases Aggregation Mean years education of women aged 60+,Mean years education of women aged 60+ in region
nmenedyr60,System,Flt,,,,Number of Cases Aggregation Mean years education of men aged 60+,Mean years education of men aged 60+ in region
nlprimary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 6-8,"Percentage of children aged 6-8 that currently attends, or in the current school year attended, school"
nuprimary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 9-11,"Percentage of children aged 9-11 that currently attends, or in the current school year attended, school"
nlsecondary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 12-14,"Percentage of children aged 12-14 that currently attends, or in the current school year attended, school"
nusecondary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 15-17,"Percentage of children aged 15-17 that currently attends, or in the current school year attended, school"
nltertiary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 18-20,"Percentage of children aged 18-20 that currently attends, or in the current school year attended, school"
nutertiary,System,Flt,,,,Number of Cases Aggregation Educational attendance children 21-23,"Percentage of children aged 21-23 that currently attends, or in the current school year attended, school"
nlprimaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 6-8,"Percentage of girls aged 6-8 that currently attends, or in the current school year attended, school"
nuprimaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 9-11,"Percentage of girls aged 9-11 that currently attends, or in the current school year attended, school"
nlsecondaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 12-14,"Percentage of girls aged 12-14 that currently attends, or in the current school year attended, school"
nusecondaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 15-17,"Percentage of girls aged 15-17 that currently attends, or in the current school year attended, school"
nltertiaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 18-20,"Percentage of girls aged 18-20 that currently attends, or in the current school year attended, school"
nutertiaryg,System,Flt,,,,Number of Cases Aggregation Educational attendance children 21-23,"Percentage of girls aged 21-23 that currently attends, or in the current school year attended, school"
nlprimaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 6-8,"Percentage of boys aged 6-8 that currently attends, or in the current school year attended, school"
nuprimaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 9-11,"Percentage of boys aged 9-11 that currently attends, or in the current school year attended, school"
nlsecondaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 12-14,"Percentage of boys aged 12-14 that currently attends, or in the current school year attended, school"
nusecondaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 15-17,"Percentage of boys aged 15-17 that currently attends, or in the current school year attended, school"
nltertiaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 18-20,"Percentage of boys aged 18-20 that currently attends, or in the current school year attended, school"
nutertiaryb,System,Flt,,,,Number of Cases Aggregation Educational attendance children 21-23,"Percentage of boys aged 21-23 that currently attends, or in the current school year attended, school"
ntv,System,Flt,,,,Number of Cases Aggregation % households with a TV,Percentage of households with a TV in region
nfridge,System,Flt,,,,Number of Cases Aggregation % households with a fridge,Percentage of households with a fridge in region
nwashmach,System,Flt,,,,Number of Cases % households with a washing machine,Percentage of households with a washing machine in region
ncomputer,System,Flt,,,,Number of Cases % households with a computer,Percentage of households with a computer in region
ninternet,System,Flt,,,,Number of Cases % households with internet access,Percentage of households with internet access in region
ncellphone,System,Flt,,,,Number of Cases Aggregation % households with a cellphone,Percentage of households with a cellphone in region
nphone,System,Flt,,,,Number of Cases Aggregation % households with a phone,Percentage of households with a phone in region
nagedifmar,System,Flt,,,,Number of Cases Aggregation Mean age difference partners (husband-wife),Mean age difference between partners in region (age male household head minus age female partner of head) in region
nagemarw20,System,Flt,,,,Number of Cases Aggregation Mean age at first marriage of women aged 20-50,Mean age at first marriage of women aged 20-50 in region
nage1chw20,System,Flt,,,,Number of Cases Aggregation Mean age at first birth of women aged 20-50,Mean age at first birth of women aged 20-50 in region
nwomo50,System,Flt,,,,Number of Cases Aggregation % of women in 50+ population,Percentage of population aged 50+ that is woman in region
npatrilocal,System,Flt,,,,Number of Cases Aggregation Patrilocality Index,Log (ppatloc/pmatloc)
nppatloc,System,Flt,,,,Number of Cases Aggregation % of households with parents of husband,Percentage of households where couple lives with parents of husband in region
npmatloc,System,Flt,,,,Number of Cases Aggregation % of households with parents of wife,Percentage of households where couple lives with parents of wife in region
ntfr,System,Flt,,,,Number of Cases Aggregation Total fertility rate,Total fertility rate
nasf1014,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 10-14,Age-specific fertility rate age 10-14 in region
nasf1519,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 15-19,Age-specific fertility rate age 15-19 in region
nasf2024,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 20-24,Age-specific fertility rate age 20-24 in region
nasf2529,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 25-29,Age-specific fertility rate age 25-29 in region
nasf3034,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 30-34,Age-specific fertility rate age 30-34 in region
nasf3539,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 35-39,Age-specific fertility rate age 35-39 in region
nasf4044,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 40-44,Age-specific fertility rate age 40-44 in region
nasf4549,System,Flt,,,,Number of Cases Aggregation Age-specific fertility rate age 45-49,Age-specific fertility rate age 45-49 in region
nstunting,System,Flt,,,,Number of Cases Aggregation Percentage of stunted children,Percentage of children aged 0-59 months who are below minus two standard deviations from median height-for-age of the WHO Child Growth Standards
nstuntingmod,System,Flt,,,,Number of Cases Aggregation Percentage of moderately stunted children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median height-for-age of the WHO Child Growth Standards
nstuntingsev,System,Flt,,,,Number of Cases Aggregation Percentage of severely stunted children,Percentage of children aged 0-59 months who are below minus three standard deviations from median height-for-age of the WHO Child Growth Standards
nhaz,System,Flt,,,,Number of Cases Aggregation Height-for-age z-score,Number of SD below or above the median height-for-age of the WHO Growth Standard
nunderweight,System,Flt,,,,Number of Cases Aggregation Percentage of underweight children,Percentage of children aged 0-59 months who are below minus two standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
nunderweightmod,System,Flt,,,,Number of Cases Aggregation Percentage of moderately underweight children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
nunderweightsev,System,Flt,,,,Number of Cases Aggregation Percentage of severely underweight children,Percentage of children aged 0-59 months who are below minus three standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards
nwaz,System,Flt,,,,Number of Cases Aggregation Weight-for-age z-score,Number of SD below or above the median weight-for-age of the WHO Growth Standard
nwasting,System,Flt,,,,Number of Cases Aggregation Percentage of wasted children,Percentage of children aged 0-59 months who are below minus two standard deviations from median weight-for-height of the WHO Child Growth Standards
nwastingmod,System,Flt,,,,Number of Cases Aggregation Percentage of moderately wasted children,Percentage of children aged 0-59 months who are between minus two and minus three standard deviations from median weight-for-height of the WHO Child Growth Standards
nwastingsev,System,Flt,,,,Number of Cases Aggregation Percentage of severely wasted children,Percentage of children aged 0-59 months who are below minus three standard deviations from median weight-for-height of the WHO Child Growth Standards
nwhz,System,Flt,,,,Number of Cases Aggregation Weight-for-height z-score,Number of SD below or above the median weight-for-height of the WHO Growth Standard
noverweight,System,Flt,,,,Number of Cases Aggregation Percentage of overweight children,Percentage of children aged 0-59 months who are above two standard deviations from median weight-for-height of the WHO Child Growth Standards
