,0,1,2,3
113,Ganze,Subcounty,"143,906",
114,Kaloleni,Subcounty,"193,682",
115,Kauma,Subcounty,"22,638",
116,Kilifi North,Subcounty,"178,824",
117,Kilifi South,Subcounty,"206,753",
118,Magarini,Subcounty,"191,610",
119,Malindi,Subcounty,"333,226",
120,Rabai,Subcounty,"120,813",
121,Kirinyaga,County,"610,411",
122,Kirinyaga Central,Subcounty,"122,740",
123,Kirinyaga East,Subcounty,"135,559",
124,Kirinyaga West,Subcounty,"114,660",
125,Mount Kenya National Park,National Park,70,
126,Mwea East,Subcounty,"132,554",
127,Mwea West,Subcounty,"104,828",
128,Kisii,County,"1,266,860",
129,Etago,Subcounty,"83,787",
130,Gucha,Subcounty,"83,740",
131,Gucha South,Subcounty,"83,623",
132,Kenyenya,Subcounty,"131,740",
133,Kisii Central,Subcounty,"166,906",
134,Kisii South,Subcounty,"135,134",
135,Kitutu Central,Subcounty,"154,175",
136,Marani,Subcounty,"107,464",
137,Masaba South,Subcounty,"122,396",
138,Nyamache,Subcounty,"130,898",
139,Sameta,Subcounty,"66,997",
140,Kisumu,County,"1,155,574",
141,Kisumu Central,Subcounty,"174,145",
142,Kisumu East,Subcounty,"220,997",
143,Kisumu West,Subcounty,"172,821",
144,Muhoroni,Subcounty,"154,116",
145,Nyakach,Subcounty,"150,320",
146,Nyando,Subcounty,"161,508",
147,Seme,Subcounty,"121,667",
148,Kitui,County,"1,136,187",
149,Ikutha,Subcounty,"82,964",
150,Katulani,Subcounty,"47,108",
151,Kisasi,Subcounty,"46,142",
152,Kitui Central,Subcounty,"105,991",
153,Kitui West,Subcounty,"70,871",
154,Kyuso,Subcounty,"76,867",
155,Lower Yatta,Subcounty,"63,329",
156,Matinyani,Subcounty,"47,811",
157,Migwani,Subcounty,"79,255",
158,Mumoni,Subcounty,"29,344",
159,Mutitu,Subcounty,"55,287",
160,Mutitu North,Subcounty,"21,215",
161,Mutomo,Subcounty,"113,356",
162,Mwingi Central,Subcounty,"108,713",
163,Mwingi East,Subcounty,"85,139",
164,Nzambani,Subcounty,"46,788",
165,Thagicu,Subcounty,"15,136",
166,Tseikuru,Subcounty,"40,871",
167,Kwale,County,"866,820",
168,Kinango,Subcounty,"94,220",
169,Lunga Lunga,Subcounty,"198,423",
170,Matuga,Subcounty,"194,252",
171,Msambweni,Subcounty,"177,690",
172,Samburu-Kwale,Subcounty,"202,235",
173,Laikipia,County,"518,560",
174,Laikipia Central,Subcounty,"95,594",
175,Laikipia East,Subcounty,"102,815",
176,Laikipia North,Subcounty,"36,184",
177,Laikipia West,Subcounty,"129,263",
178,Nyahururu,Subcounty,"154,704",
179,Lamu,County,"143,920",
180,Lamu East,Subcounty,"22,258",
181,Lamu West,Subcounty,"121,662",
182,Machakos,County,"1,421,932",
183,Athi River,Subcounty,"322,499",
184,Kalama,Subcounty,"54,462",
185,Kangundo,Subcounty,"97,917",
186,Kathiani,Subcounty,"111,890",
187,Machakos,Subcounty,"170,606",
188,Masinga,Subcounty,"148,522",
189,Matungulu,Subcounty,"161,557",
190,Mwala,Subcounty,"181,896",
191,Yatta,Subcounty,"172,583",
192,Makueni,County,"987,653",
193,Kathonzweni,Subcounty,"79,780",
194,Kibwezi,Subcounty,"197,000",
195,Kilungu,Subcounty,"60,952",
196,Makindu,Subcounty,"84,946",
197,Makueni,Subcounty,"130,375",
198,Mbooni East,Subcounty,"97,756",
199,Mbooni West,Subcounty,"102,594",
200,Mukaa,Subcounty,"107,549",
201,Nzaui,Subcounty,"126,701",
202,Mandera,County,"867,457",
203,Banisa,Subcounty,"152,598",
204,Kotulo,Subcounty,"72,394",
205,Lafey,Subcounty,"83,457",
206,Mandera Central,Subcounty,"157,220",
207,Mandera East,Subcounty,"159,638",
208,Mandera North,Subcounty,"143,850",
209,Mandera West,Subcounty,"98,300",
210,Marsabit,County,"459,785",
211,Loiyangalani,Subcounty,"35,713",
212,Marsabit Central,Subcounty,"79,181",
213,Marsabit North,Subcounty,"54,297",
214,Marsabit South,Subcounty,"65,376",
215,Moyale,Subcounty,"108,949",
216,North Horr,Subcounty,"71,447",
217,Sololo,Subcounty,"44,822",
218,Meru,County,"1,545,714",
219,Buuri East,Subcounty,"76,598",
220,Buuri West,Subcounty,"80,762",
221,Igembe Central,Subcounty,"221,412",
222,Igembe North,Subcounty,"169,317",
223,Igembe South,Subcounty,"161,646",
224,Imenti North,Subcounty,"177,567",
225,Imenti South,Subcounty,"206,506",
226,Meru Central,Subcounty,"133,818",
227,Meru National Park,National Park,385,
228,Mount Kenya National Park,National Park,463,
229,Tigania Central,Subcounty,"104,730",
230,Tigania East,Subcounty,"72,549",
231,Tigania West,Subcounty,"139,961",
232,Migori,County,"1,116,436",
233,Awendo,Subcounty,"117,290",
234,Kuria East,Subcounty,"96,872",
235,Kuria West,Subcounty,"208,513",
236,Nyatike,Subcounty,"176,162",
237,Rongo,Subcounty,"124,587",
238,Suna East,Subcounty,"122,674",
239,Suna West,Subcounty,"128,890",
240,Uriri,Subcounty,"141,448",
241,Mombasa,County,"1,208,333",
242,Changamwe,Subcounty,"131,882",
243,Jomvu,Subcounty,"163,415",
244,Kisauni,Subcounty,"291,930",
245,Likoni,Subcounty,"250,358",
246,Mvita,Subcounty,"154,171",
247,Nyali,Subcounty,"216,577",
248,Murang'a,County,"1,056,640",
249,Aberdare National Park,National Park,43,
250,Gatanga,Subcounty,"187,989",
251,Kahuro,Subcounty,"88,193",
252,Kandara,Subcounty,"175,098",
253,Kangema,Subcounty,"80,447",
254,Kigumo,Subcounty,"136,921",
255,Mathioya,Subcounty,"92,814",
256,Murang'a East,Subcounty,"110,311",
257,Murang'a South,Subcounty,"184,824",
258,Nairobi,County,"4,397,073",
259,Dagoretti,Subcounty,"434,208",
260,Embakasi,Subcounty,"988,808",
261,Kamukunji,Subcounty,"268,276",
262,Kasarani,Subcounty,"780,656",
263,Kibra,Subcounty,"185,777",
264,Lang'ata,Subcounty,"197,489",
265,Makadara,Subcounty,"189,536",
266,Mathare,Subcounty,"206,564",
267,Njiru,Subcounty,"626,482",
268,Starehe,Subcounty,"210,423",
269,Westlands,Subcounty,"308,854",
270,Nakuru,County,"2,162,202",
271,Gilgil,Subcounty,"185,209",
272,Kuresoi North,Subcounty,"175,074",
273,Kuresoi South,Subcounty,"155,324",
274,Molo,Subcounty,"156,732",
275,Naivasha,Subcounty,"355,383",
276,Nakuru East,Subcounty,"193,926",
277,Nakuru North,Subcounty,"218,050",
278,Nakuru West,Subcounty,"198,661",
279,Njoro,Subcounty,"238,773",
280,Rongai,Subcounty,"199,906",
281,Subukia,Subcounty,"85,164",
282,Nandi,County,"885,711",
283,Chesumei,Subcounty,"164,133",
284,Nandi Central,Subcounty,"147,553",
285,Nandi East,Subcounty,"119,173",
286,Nandi North,Subcounty,"166,171",
287,Nandi South,Subcounty,"172,750",
288,Tinderet,Subcounty,"115,931",
289,Narok,County,"1,157,873",
290,Narok East,Subcounty,"115,323",
291,Narok North ( incl. Mau Forest ),Subcounty,"251,894",
292,Narok South,Subcounty,"238,472",
293,Narok West,Subcounty,"195,287",
294,Trans Mara East,Subcounty,"111,183",
295,Trans Mara West,Subcounty,"245,714",
296,Nyamira,County,"605,576",
297,Borabu,Subcounty,"73,167",
298,Manga,Subcounty,"94,209",
299,Masaba North,Subcounty,"111,860",
300,Nyamira North,Subcounty,"167,267",
301,Nyamira South,Subcounty,"159,073",
302,Nyandarua,County,"638,289",
303,Aberdare National Park,National Park,15,
304,Kinangop,Subcounty,"111,410",
305,Kipipiri,Subcounty,"93,855",
306,Mirangine,Subcounty,"67,214",
307,Nyandarua Central,Subcounty,"75,262",
308,Nyandarua North,Subcounty,"98,698",
309,Nyandarua South,Subcounty,"93,870",
310,Nyandarua West,Subcounty,"97,965",
311,Nyeri,County,"759,164",
312,Aberdare National Park,National Park,106,
313,Kieni East,Subcounty,"110,376",
314,Kieni West,Subcounty,"88,525",
315,Mathira East,Subcounty,"99,065",
316,Mathira West,Subcounty,"59,895",
317,Mount Kenya National Park,National Park,188,
318,Mukurweini,Subcounty,"89,137",
319,Nyeri Central,Subcounty,"140,338",
320,Nyeri South,Subcounty,"91,081",
321,Tetu,Subcounty,"80,453",
322,Samburu,County,"310,327",
323,Samburu Central,Subcounty,"164,942",
324,Samburu East,Subcounty,"77,994",
325,Samburu North,Subcounty,"67,391",
326,Siaya,County,"993,183",
327,Bondo,Subcounty,"197,883",
328,Gem,Subcounty,"179,792",
329,Rarieda,Subcounty,"152,570",
330,Siaya,Subcounty,"224,343",
331,Ugenya,Subcounty,"134,354",
332,Ugunja,Subcounty,"104,241",
333,Taita-Taveta,County,"340,671",
334,Mwatate,Subcounty,"81,659",
335,Taita,Subcounty,"55,959",
336,Taveta,Subcounty,"91,222",
337,Voi,Subcounty,"111,831",
338,Tana River,County,"315,943",
339,Tana Delta,Subcounty,"110,640",
340,Tana North,Subcounty,"116,757",
341,Tana River,Subcounty,"88,546",
342,Tharaka-Nithi,County,"393,177",
343,Igambang'ombe,Subcounty,"53,210",
344,Maara,Subcounty,"114,894",
345,Meru South,Subcounty,"91,080",
346,Mount Kenya National Park,National Park,398,
347,Tharaka North,Subcounty,"58,345",
348,Tharaka South,Subcounty,"75,250",
349,Trans Nzoia,County,"990,341",
350,Endebess,Subcounty,"111,782",
351,Kiminini,Subcounty,"242,823",
352,Kwanza,Subcounty,"203,821",
353,Trans Nzoia East,Subcounty,"229,538",
354,Trans Nzoia West,Subcounty,"202,377",
355,Turkana,County,"926,976",
356,Kibish,Subcounty,"36,769",
357,Loima,Subcounty,"107,795",
358,Turkana Central,Subcounty,"185,305",
359,Turkana East,Subcounty,"138,526",
360,Turkana North,Subcounty,"65,218",
361,Turkana South,Subcounty,"153,736",
362,Turkana West,Subcounty,"239,627",
363,Uasin Gishu,County,"1,163,186",
364,Ainabkoi,Subcounty,"138,184",
365,Kapseret,Subcounty,"198,499",
366,Kesses,Subcounty,"148,798",
367,Moiben,Subcounty,"181,338",
368,Soy,Subcounty,"229,094",
369,Turbo,Subcounty,"267,273",
370,Vihiga,County,"590,013",
371,Emuhaya,Subcounty,"97,141",
372,Hamisi ( incl. Kakamega Forest ),Subcounty,"159,258",
373,Luanda,Subcounty,"106,694",
374,Sabatia,Subcounty,"131,628",
375,Vihiga,Subcounty,"95,292",
376,Wajir,County,"781,263",
377,Buna,Subcounty,"49,886",
378,Eldas,Subcounty,"89,104",
379,Habaswein,Subcounty,"174,134",
380,Tarbaj,Subcounty,"56,637",
381,Wajir East,Subcounty,"110,654",
382,Wajir North,Subcounty,"62,206",
383,Wajir South,Subcounty,"116,814",
384,Wajir West,Subcounty,"121,828",
385,West Pokot,County,"621,241",
386,Kipkomo,Subcounty,"102,633",
387,Pokot Central,Subcounty,"119,016",
388,Pokot North,Subcounty,"134,485",
389,Pokot South,Subcounty,"80,661",
390,West Pokot,Subcounty,"184,446",
391,Kenya,Republic,"47,564,296",
