,0,1,2,3
117,Mumba,Ward,"2,270",
118,Mvula,Ward,"2,789",
119,Nakatindi,Ward,"7,316",
120,Ngebe,Ward,"4,697",
121,Silwizya,Ward,809,
122,Yeta,Ward,"4,502",
123,Yotam Muleya,Ward,"12,209",
124,Chilubi,District,"81,248",
125,Bulilo,Ward,"6,489",
126,Bumba,Ward,"5,923",
127,Chifwenge,Ward,"8,130",
128,Chiloba,Ward,"4,355",
129,Chinkundu,Ward,"1,612",
130,Chisupa,Ward,"3,664",
131,Kambashi,Ward,"3,081",
132,Kanama,Ward,"1,458",
133,Kanchindi,Ward,"7,192",
134,Kapoka,Ward,"2,304",
135,Kashitu,Ward,"2,659",
136,Katamba,Ward,"3,227",
137,Kawena,Ward,"5,699",
138,Luangwa,Ward,"2,118",
139,Lwenda,Ward,"3,729",
140,Mofu,Ward,"2,994",
141,Mpanshya,Ward,"1,636",
142,Mubemba,Ward,"1,972",
143,Mulanda,Ward,"5,497",
144,Muteka,Ward,"2,998",
145,Ndela,Ward,"3,303",
146,Nguni,Ward,"1,208",
147,Chingola,District,"216,626",
148,Buntungwa,Ward,"12,193",
149,Bupalo,Ward,"2,389",
150,Chabanyama,Ward,"7,512",
151,Chikola,Ward,"8,737",
152,Chingola,Ward,"7,999",
153,Chitimukulu,Ward,"7,904",
154,Chiwempala,Ward,"12,454",
155,Gibson Chimfwembe,Ward,"3,964",
156,Ipafu,Ward,"5,819",
157,Kabundi,Ward,"7,102",
158,Kabungo,Ward,"6,966",
159,Kalilo,Ward,"6,219",
160,Kapisha,Ward,"33,377",
161,Kasala,Ward,"7,031",
162,Kasompe,Ward,"5,191",
163,Kwacha,Ward,"5,027",
164,Luano,Ward,814,
165,Lulamba,Ward,"15,080",
166,Maiteneke,Ward,"11,705",
167,Mimbula,Ward,"6,652",
168,Muchinshi,Ward,"4,355",
169,Musenga,Ward,"2,772",
170,Mutenda,Ward,"5,798",
171,Nchanga,Ward,"5,266",
172,Nsansa,Ward,"10,201",
173,Sekela,Ward,"5,864",
174,Twatasha,Ward,"8,235",
175,Chinsali,District,"86,723",
176,Chambeshi,Ward,"1,669",
177,Chilinda,Ward,"9,102",
178,Chilunda,Ward,"1,287",
179,Chipanga,Ward,"10,348",
180,Ichinga,Ward,"16,191",
181,Itapa,Ward,"9,892",
182,Kaunga,Ward,"9,005",
183,Lubwa,Ward,"10,363",
184,Malalo,Ward,"4,410",
185,Munwakubili,Ward,"9,598",
186,Nkakula,Ward,"4,858",
187,Chipata,District,"455,783",
188,Chikando,Ward,"25,424",
189,Chingazi,Ward,"15,149",
190,Chipangali,Ward,"20,558",
191,Chiparamba,Ward,"11,511",
192,Dilika,Ward,"23,324",
193,Kanjala,Ward,"35,577",
194,Kapata,Ward,"33,969",
195,Kasenga,Ward,"14,350",
196,Kazimule,Ward,"11,476",
197,Khova,Ward,"10,590",
198,Kwenje,Ward,"29,330",
199,Makangila,Ward,"7,559",
200,Makungwa,Ward,"12,901",
201,Mboza,Ward,"11,792",
202,Mkowe,Ward,"2,009",
203,Msandile,Ward,"16,423",
204,Msanga,Ward,"66,455",
205,Ng'ongwe,Ward,"15,425",
206,Nsingo,Ward,"20,376",
207,Nthope,Ward,"32,993",
208,Rukuzye,Ward,"19,936",
209,Sisinje,Ward,"18,656",
210,Chipili,District,"32,565",
211,Chibalashi,Ward,"5,443",
212,Mumbwe,Ward,"4,511",
213,Mweshi,Ward,"3,626",
214,Nalupembe,Ward,"7,854",
215,Nkonge,Ward,"5,746",
216,Nsenga,Ward,"5,385",
217,Chirundu,District,"47,344",
218,Chirundu,Ward,"14,864",
219,Ibwemunyama,Ward,"3,376",
220,Lusitu,Ward,"8,075",
221,Musaya,Ward,"5,342",
222,Ng'ombe Ilede,Ward,"11,782",
223,Sikoongo,Ward,"3,905",
224,Chisamba,District,"103,983",
225,Chamuka,Ward,"21,210",
226,Chikonkomene,Ward,"15,802",
227,Chisamba,Ward,"23,635",
228,Liteta,Ward,"20,039",
229,Mulungushi,Ward,"6,814",
230,Muswishi,Ward,"16,483",
231,Chitambo,District,"48,861",
232,Chalilo,Ward,"7,669",
233,Chipundu,Ward,"7,555",
234,Chitambo,Ward,"9,843",
235,Lulimala,Ward,"9,238",
236,Luombwa,Ward,"1,945",
237,Mpelembe,Ward,"2,203",
238,Muchinka,Ward,"10,408",
239,Choma,District,"180,673",
240,Batoka,Ward,"6,974",
241,Chilalantambo,Ward,"9,521",
242,Kabimba,Ward,"2,035",
243,Kalundana,Ward,"13,142",
244,Macha,Ward,"7,501",
245,Mang'unza,Ward,"6,132",
246,Mapanza,Ward,"5,998",
247,Mbabala,Ward,"14,759",
248,Moomba,Ward,"3,300",
249,Mubula,Ward,"20,838",
250,Nakeempa,Ward,"5,595",
251,Namuswa,Ward,"11,517",
252,Siasikabole,Ward,"8,421",
253,Sikalongo,Ward,"8,111",
254,Sikalundu,Ward,"9,431",
255,Simacheche,Ward,"8,431",
256,Simamvwa,Ward,"11,505",
257,Simaubi,Ward,"11,991",
258,Singani,Ward,"8,927",
259,Stateland,Ward,"6,544",
260,Chongwe,District,"141,301",
261,Chalimbana,Ward,"10,418",
262,Chinkuli,Ward,"22,662",
263,Chongwe,Ward,"26,167",
264,Kanakantapa,Ward,"14,017",
265,Kapwayambale,Ward,"17,465",
266,Lukoshi,Ward,"8,738",
267,Lwimba,Ward,"5,129",
268,Manyika,Ward,"10,617",
269,Nakatindi,Ward,"6,578",
270,Ntandabale,Ward,"19,510",
271,Gwembe,District,"53,117",
272,Bbondo,Ward,"8,682",
273,Chaamwe,Ward,"2,894",
274,Chibuwe,Ward,"5,420",
275,Chisanga,Ward,"2,862",
276,Fumbo,Ward,"9,029",
277,Jongola,Ward,660,
278,Jumbo,Ward,"2,425",
279,Kkole,Ward,"2,743",
280,Kkoma,Ward,"5,880",
281,Kota Kota,Ward,"1,113",
282,Lukonde,Ward,"4,231",
283,Luumbo,Ward,"3,668",
284,Siampande,Ward,"1,450",
285,Sinafala,Ward,"2,060",
286,Ikelenge,District,"32,919",
287,Chana Chamuhinga,Ward,"3,214",
288,Ikeleng'i,Ward,"8,075",
289,Jimbe,Ward,"3,772",
290,Mukangala,Ward,"4,565",
291,Mwininyilamba,Ward,"5,038",
292,Nyakaseya,Ward,"8,255",
293,Isoka,District,"72,189",
294,Itukuta,Ward,"5,656",
295,Kantenshya,Ward,"7,449",
296,Kapililonga,Ward,"8,623",
297,Kasoka,Ward,"17,295",
298,Luangwa,Ward,"3,702",
299,Milongo,Ward,"2,089",
300,Mpungu,Ward,"7,974",
301,Nkombwa,Ward,"6,503",
302,Sasamwenje,Ward,"12,898",
303,Itezhi-Tezhi,District,"68,599",
304,Banamwaze,Ward,"2,830",
305,Basanga,Ward,"7,309",
306,Itezhi-Tezhi,Ward,"8,290",
307,Itumbi,Ward,"5,803",
308,Kaanzwa,Ward,"6,290",
309,Kabulungwe,Ward,"1,702",
310,Lubanda,Ward,"6,691",
311,Luchena,Ward,"2,189",
312,Luubwe,Ward,"3,348",
313,Makunku,Ward,"3,680",
314,Masemu,Ward,"9,864",
315,Mbila,Ward,"8,085",
316,Nyambo,Ward,"2,518",
317,Kabompo,District,"44,180",
318,Chikenge,Ward,"2,796",
319,Chikonkwelo,Ward,"3,710",
320,Kabompo,Ward,"9,865",
321,Kabulamema,Ward,"4,177",
322,Kamafwafwa,Ward,"3,762",
323,Kamisombo,Ward,"4,118",
324,Katuva,Ward,"2,402",
325,Kayombo,Ward,"1,884",
326,Litoya,Ward,"1,569",
327,Luli,Ward,"2,660",
328,Lunyiwe,Ward,"1,503",
329,Maveve,Ward,"1,769",
330,Mumbeji,Ward,"3,965",
331,Kabwe,District,"202,360",
332,Ben Kapufi,Ward,"4,998",
333,Bwacha,Ward,"9,565",
334,Chililalila,Ward,"5,489",
335,Chimanimani,Ward,"4,787",
336,Chinyanja,Ward,"3,261",
337,Chirwa,Ward,"26,987",
338,David Ramushu,Ward,"8,148",
339,Highridge,Ward,"7,195",
340,Justine Kabwe,Ward,"5,376",
341,Kalonga,Ward,"10,680",
342,Kang'omba,Ward,"4,856",
343,Kaputula,Ward,"13,084",
344,Kawama,Ward,"10,234",
345,Luangwa,Ward,"16,005",
346,Luansase,Ward,"3,004",
347,Makululu,Ward,"3,828",
348,Moomba,Ward,"11,038",
349,Mpima,Ward,"6,588",
350,Munga,Ward,"3,397",
351,Munyama,Ward,"2,248",
352,Muwowo,Ward,"1,792",
353,Muwowo East,Ward,"4,223",
354,Nakoli,Ward,"9,895",
355,Ngungu,Ward,"5,775",
356,Njanji,Ward,"6,076",
357,Waya,Ward,"5,601",
358,Zambezi,Ward,"8,230",
359,Kafue,District,"120,415",
360,Chikupi,Ward,"1,036",
361,Chisankane,Ward,"8,547",
362,Chiyaba,Ward,"5,882",
363,Kafue,Ward,"8,285",
364,Kambale,Ward,"5,047",
365,Kasenje,Ward,"21,838",
366,Lukolongo,Ward,"3,140",
367,Malundu,Ward,"9,716",
368,Matanda,Ward,"10,923",
369,Mungu,Ward,"15,474",
370,Shabusele,Ward,"30,527",
371,Kalabo,District,"83,442",
372,Buleya,Ward,"4,183",
373,Kandambo,Ward,"3,826",
374,Kuuli,Ward,"3,878",
375,Libonda,Ward,"7,841",
376,Likulundundu,Ward,"2,254",
377,Liumba,Ward,"3,661",
378,Luanginga,Ward,"8,745",
379,Luola,Ward,"1,773",
380,Lutwi,Ward,"5,719",
381,Mapungu,Ward,"3,741",
382,Namulilo,Ward,"7,933",
383,Ndoka,Ward,"7,774",
384,Nguma,Ward,"4,284",
385,Salunda,Ward,"3,002",
386,Siluwe,Ward,"2,161",
387,Sishekanu,Ward,"5,570",
388,Yuka,Ward,"7,097",
389,Kalomo,District,"188,693",
390,Bbilili,Ward,"9,990",
391,Chamuka,Ward,"10,065",
392,Chawila,Ward,"8,063",
393,Chikanta,Ward,"20,836",
394,Choonga,Ward,"21,559",
395,Kalonda,Ward,"13,562",
396,Kasukwe,Ward,"15,141",
397,Mayoba,Ward,"11,337",
398,Nachikungu,Ward,"8,399",
399,Naluja,Ward,"13,707",
400,Namwianga,Ward,"9,785",
401,Omba,Ward,"10,676",
402,Siachitema,Ward,"26,725",
403,Simayakwe,Ward,"5,034",
404,Sipatunyana,Ward,"3,814",
405,Kalulushi,District,"100,381",
406,Buseko,Ward,"3,601",
407,Chambishi,Ward,90,
408,Chankalamo,Ward,"3,100",
409,Chati,Ward,"8,589",
410,Chembe,Ward,"2,020",
411,Chibuluma,Ward,"3,358",
412,Dongwe,Ward,"1,557",
413,Ichimpe,Ward,"3,457",
414,Kafue,Ward,"11,187",
415,Kalanga,Ward,"7,529",
416,Kalengwa,Ward,"1,921",
417,Kalungwishi,Ward,"3,501",
418,Kankonshi,Ward,"1,418",
419,Luapula,Ward,"3,112",
420,Lubuto,Ward,"4,071",
421,Lukoshi,Ward,"1,518",
422,Lulamba,Ward,"4,486",
423,Musakashi,Ward,994,
424,Mwambashi,Ward,"3,415",
425,Ngweshi,Ward,"3,217",
426,Remmy Chisupa,Ward,"4,178",
427,Twaiteka,Ward,"24,062",
428,Kaoma,District,"103,280",
429,Kanabilumbu,Ward,"3,144",
430,Kapili,Ward,"2,261",
431,Lalafuta,Ward,"7,462",
432,Longe,Ward,"7,552",
433,Luambuwa,Ward,"7,665",
434,Mangango,Ward,"5,279",
435,Mulamatila,Ward,"21,434",
436,Mushwala,Ward,"16,903",
437,Namafulo,Ward,"16,161",
438,Shikombwe,Ward,"7,010",
439,Shitwa,Ward,"8,409",
440,Kapiri Mposhi,District,"232,548",
441,Chango'ndo,Ward,"23,935",
442,Chibwelo,Ward,"44,783",
443,Chipepo,Ward,"14,323",
444,Kakwelesa,Ward,"25,556",
445,Kampumba,Ward,"6,080",
446,Kapandwe,Ward,"3,852",
447,Kapiri Mposhi,Ward,"14,792",
448,Kashitu,Ward,"7,506",
449,Lunchu,Ward,"32,138",
450,Lwanchele,Ward,"15,117",
451,Mpunde,Ward,"25,832",
452,Mushimbili,Ward,"18,634",
453,Kaputa,District,"70,881",
454,Chipili,Ward,"9,932",
455,Chiyilunda,Ward,"3,045",
456,Choma,Ward,"9,210",
457,Kaleulu,Ward,"9,467",
458,Kalungwishi,Ward,"5,084",
459,Kapulwa,Ward,"5,527",
460,Mofwe,Ward,"1,422",
461,Mowa,Ward,"12,825",
462,Munkonge,Ward,"6,176",
463,Mwawe,Ward,"2,424",
464,Nkota,Ward,"5,769",
465,Kasama,District,"231,824",
466,Bululu,Ward,"18,968",
467,Buseko,Ward,"63,911",
468,Chiba,Ward,"7,818",
469,Chibundu,Ward,"9,095",
470,Chilunga,Ward,"12,147",
471,Chumba,Ward,"5,041",
472,Julia Chikamoneka,Ward,"2,780",
473,Kapongolo,Ward,"6,726",
474,Kapumaula,Ward,"9,812",
475,Kasenga,Ward,"12,501",
476,Lualuo,Ward,"8,569",
477,Lukulu,Ward,"3,874",
478,Lukupa,Ward,"9,437",
479,Lusenga,Ward,"11,029",
480,Mukanga,Ward,"7,881",
481,Mulilansolo,Ward,"36,470",
482,Musowa,Ward,"5,765",
483,Kasempa,District,"69,608",
484,Dengwe,Ward,"3,709",
485,Ingwe,Ward,579,
486,Jifumpa,Ward,"1,119",
487,Kaimbwe,Ward,"3,215",
488,Kalombe,Ward,"3,686",
489,Kamakuku,Ward,"1,046",
490,Kamankechi,Ward,"3,547",
491,Kamatete,Ward,"4,316",
492,Kamusongolwa,Ward,"1,177",
493,Kanongo,Ward,"1,689",
494,Kelongwa,Ward,"2,774",
495,Kikonkomene,Ward,"4,489",
496,Lubofu,Ward,"2,222",
497,Mpungu,Ward,"1,382",
498,Mukema,Ward,"4,412",
499,Mukinge,Ward,"1,394",
500,Mukunanshi,Ward,"3,653",
501,Mutenda,Ward,"4,939",
502,Njenga,Ward,"6,193",
503,Nkenyauna,Ward,"6,700",
504,Nselauke,Ward,"3,644",
505,Nyoka,Ward,"3,723",
506,Katete,District,"160,985",
507,Chavuka,Ward,"10,208",
508,Chimtende,Ward,"9,786",
509,Chimwa,Ward,"1,813",
510,Chindwale,Ward,"4,576",
511,Dole,Ward,"8,963",
512,Kadula,Ward,"9,329",
513,Kafumbwe,Ward,"7,434",
514,Kapangulula,Ward,"9,113",
515,Kapoche,Ward,"2,402",
516,Katiula,Ward,"10,736",
517,Kazala,Ward,"8,597",
518,Lukweta,Ward,"6,131",
519,Matunga,Ward,"6,429",
520,Milanzi,Ward,"5,532",
521,Mkaika,Ward,"24,171",
522,Mphangwe,Ward,"19,090",
523,Mwandafisi,Ward,"5,913",
524,Vulamkoko,Ward,"10,762",
525,Kawambwa,District,"89,120",
526,Chibote,Ward,"2,773",
527,Chimpili,Ward,"2,506",
528,Fisaka,Ward,"5,252",
529,Ilombe,Ward,"12,103",
530,Iyanga,Ward,"4,509",
531,Kabanse,Ward,"7,050",
532,Kawambwa,Ward,"9,415",
533,Luena,Ward,"2,891",
534,Luongo,Ward,"3,948",
535,Mulunda,Ward,"10,859",
536,Ng'ona,Ward,"12,085",
537,Ntumbachushi,Ward,"2,187",
538,Pambashe,Ward,"2,370",
539,Senga,Ward,"11,172",
540,Kazungula,District,"104,731",
541,Chooma,Ward,"7,264",
542,Kanchele,Ward,"10,860",
543,Katapazi,Ward,"6,410",
544,Kauwe,Ward,"6,539",
545,Mandia,Ward,"9,246",
546,Moomba,Ward,"2,425",
547,Mukuni,Ward,"8,862",
548,Musokotwane,Ward,"4,960",
549,Nguba,Ward,"11,393",
550,Ngwezi,Ward,"10,182",
551,Nyawa,Ward,"11,075",
552,Sekute,Ward,"3,228",
553,Sikaunzwe,Ward,"7,542",
554,Simango,Ward,"4,745",
555,Kitwe,District,"517,543",
556,Buchi,Ward,"24,193",
557,Bulangililo,Ward,"28,038",
558,Buntungwa,Ward,"17,483",
559,Bupe,Ward,"17,442",
560,Chamboli,Ward,"22,054",
561,Chantete,Ward,"3,091",
562,Chibote,Ward,"16,748",
563,Chimwemwe,Ward,"14,193",
564,Ipusukilo,Ward,"42,784",
565,Itimpi,Ward,"11,777",
566,Kafue,Ward,"7,051",
567,Kamakonde,Ward,"3,900",
568,Kamfinsa,Ward,"12,041",
569,Kawama,Ward,"37,966",
570,Kwacha,Ward,"18,362",
571,Limaposa,Ward,"2,192",
572,Luangwa,Ward,"30,626",
573,Lubuto,Ward,"12,203",
574,Lubwa,Ward,"12,521",
575,Mindolo,Ward,"14,053",
576,Miseshi,Ward,"17,535",
577,Mukuba,Ward,"5,753",
578,Ndeke,Ward,"50,300",
579,Parklands,Ward,"6,086",
580,Riverside,Ward,"28,359",
581,Rokana,Ward,"11,547",
582,Twatasha,Ward,"23,719",
583,Wusakile,Ward,"25,526",
584,Limulunga,District,"50,741",
585,Ikwichi,Ward,"3,433",
586,Limulunga,Ward,"14,199",
587,Mabili,Ward,"4,006",
588,Namboma,Ward,"5,176",
589,Nangula,Ward,"12,236",
590,Ndanda,Ward,"1,535",
591,Simaa,Ward,"4,908",
592,Ushaa,Ward,"5,248",
593,Livingstone,District,"139,509",
594,Akapelwa,Ward,"3,058",
595,Dambwa Central,Ward,"6,329",
596,Dr. Mubitana,Ward,"6,543",
597,Freedom,Ward,"11,974",
598,Kariba,Ward,"4,521",
599,Kasiya,Ward,"9,165",
600,Libuyu,Ward,"7,817",
601,Lizuma,Ward,"2,761",
602,Maramba,Ward,"9,590",
603,Mulungushi,Ward,"8,263",
604,Musi-oa-tunya,Ward,"8,213",
605,Mwalibonena,Ward,"9,886",
606,Namatama,Ward,"11,606",
607,Nansanzu,Ward,"7,194",
608,Shungu,Ward,"3,565",
609,Simonga,Ward,"12,926",
610,Zambezi,Ward,"16,098",
611,Luampa,District,"43,840",
612,Luampa,Ward,"6,538",
613,Lui,Ward,"7,793",
614,Mbanyutu,Ward,"2,069",
615,Mulwa,Ward,"4,187",
616,Naliele,Ward,"7,123",
617,Namando,Ward,"1,205",
618,Nkenga,Ward,"8,844",
619,Nyambi,Ward,"6,081",
620,Luangwa,District,"24,304",
621,Chikoma,Ward,"2,245",
622,Chiriwe,Ward,301,
623,Dzalo,Ward,"5,100",
624,Kabowo,Ward,204,
625,Kapoche,Ward,"1,468",
626,Katondwe,Ward,"2,514",
627,Kaunga,Ward,"2,795",
628,Lunya,Ward,626,
629,Mandombe,Ward,730,
630,Mankhokwe,Ward,670,
631,Mburuma,Ward,"2,878",
632,M'kaliva,Ward,868,
633,Mphuka,Ward,"1,165",
634,Mwalilia,Ward,"1,820",
635,Phwazi,Ward,920,
636,Luano,District,"25,548",
637,Chapaba,Ward,"1,710",
638,Ching'ombe,Ward,"2,225",
639,Kalwa,Ward,"4,074",
640,Kamimbya,Ward,"5,015",
641,Mwalala,Ward,"2,071",
642,Nkomashi,Ward,"10,453",
643,Luanshya,District,"156,059",
644,Baluba,Ward,"3,505",
645,Buntungwa,Ward,"15,323",
646,Buteko,Ward,"10,281",
647,Chifulube,Ward,794,
648,Chilabula,Ward,"1,772",
649,Chitwi,Ward,"2,249",
650,Fisenge,Ward,"7,057",
651,James Phiri,Ward,"8,478",
652,Justine Kabwe,Ward,"4,347",
653,Kafubu,Ward,"3,120",
654,Kafue,Ward,"8,206",
655,Kansengu,Ward,"5,193",
656,Kawama,Ward,"1,976",
657,Levi Chiko,Ward,"7,254",
658,Lumumba,Ward,"7,235",
659,Mikomfwa,Ward,"11,573",
660,Milyashi,Ward,"6,502",
661,Mipundu,Ward,"5,481",
662,Misaka,Ward,"10,871",
663,Mpatamatu,Ward,"5,289",
664,Mpelembe,Ward,"6,263",
665,Mulungushi,Ward,"5,428",
666,Muva Hill,Ward,486,
667,Ngebe,Ward,"4,280",
668,Nkoloma,Ward,"2,779",
669,Nkulumashiba,Ward,"2,871",
670,Twashuka,Ward,778,
671,Zambezi,Ward,"6,668",
672,Lufwanyama,District,"78,503",
673,Boso,Ward,"6,180",
674,Bulaya,Ward,563,
675,Chantete,Ward,860,
676,Chibanga,Ward,"12,126",
677,Kabundia,Ward,"6,786",
678,Kafubu,Ward,"6,804",
679,Kansanta,Ward,"6,541",
680,Kansonka,Ward,"6,360",
681,Lufwanyama,Ward,"3,240",
682,Luswishi,Ward,"3,628",
683,Mibenge,Ward,"3,414",
684,Mpindi,Ward,"3,766",
685,Mukumbo,Ward,"4,491",
686,Mushingashi,Ward,"4,587",
687,Mwelushi,Ward,"4,352",
688,Sokotwe,Ward,"4,805",
689,Lukulu,District,"58,534",
690,Dongwe,Ward,"2,422",
691,Kamilende,Ward,"2,727",
692,Kang'oti,Ward,"6,583",
693,Kashamba,Ward,"2,602",
694,Kawaya,Ward,"4,096",
695,Likapai,Ward,"1,637",
696,Luanchuma,Ward,"6,703",
697,Lukau,Ward,"3,578",
698,Mbanga,Ward,"5,021",
699,Mwandi,Ward,"10,575",
700,Mwito,Ward,"3,977",
701,Namayula,Ward,"3,861",
702,Simakumba,Ward,"4,752",
703,Lundazi,District,"323,870",
704,Chaboli,Ward,"8,522",
705,Chamtowa,Ward,"12,923",
706,Chibande,Ward,"9,385",
707,Chilola,Ward,"10,195",
708,Chimaliro,Ward,"10,180",
709,Diwa,Ward,"23,410",
710,Kachama,Ward,"9,119",
711,Kajilime,Ward,"18,363",
712,Kamimba,Ward,"11,306",
713,Kapilisanga,Ward,"10,169",
714,Kazembe,Ward,"8,780",
715,Lukusuzi,Ward,"2,155",
716,Lumimba,Ward,"8,679",
717,Lunevwa,Ward,"15,966",
718,Luwerezi,Ward,"4,961",
719,Magodi,Ward,"17,762",
720,Manda Hill,Ward,"4,371",
721,Membe,Ward,"5,044",
722,Mkomba,Ward,"5,097",
723,Mnyamazi,Ward,"34,442",
724,Msuzi,Ward,"16,622",
725,Ndonda,Ward,"9,606",
726,Nkhanga,Ward,"20,060",
727,Nthintimila,Ward,"8,241",
728,Susa,Ward,"10,576",
729,Vuu,Ward,"19,976",
730,Wachitangachi,Ward,"7,960",
731,Lunga,District,"24,005",
732,Lunga,Ward,"3,567",
733,Ncheta,Ward,"5,041",
734,Nkutila,Ward,"9,597",
735,Nsalushi,Ward,"5,800",
736,Lusaka,District,"1,747,152",
737,Chainda,Ward,"38,393",
738,Chaisa,Ward,"19,858",
739,Chakunkula,Ward,"32,382",
740,Chawama,Ward,"70,181",
741,Chilenje,Ward,"52,220",
742,Harry Mwaanga Nkumbula,Ward,"167,542",
743,Independence,Ward,"16,134",
744,John Howard,Ward,"28,900",
745,Justine Kabwe,Ward,"40,373",
746,Kabulonga,Ward,"57,904",
747,Kabwata,Ward,"22,537",
748,Kalingalinga,Ward,"39,139",
749,Kamulanga,Ward,"25,935",
750,Kamwala,Ward,"51,299",
751,Kanyama,Ward,"169,253",
752,Kapwepwe,Ward,"54,650",
753,Libala,Ward,"22,347",
754,Lilayi,Ward,"13,402",
755,Lima,Ward,"62,592",
756,Lubwa,Ward,"36,445",
757,Matero,Ward,"55,629",
758,Mpulungu,Ward,"57,596",
759,Mtendere,Ward,"106,128",
760,Muchinga,Ward,"40,985",
761,Mulungushi,Ward,"13,224",
762,Munali,Ward,"45,933",
763,Munkolo,Ward,"27,860",
764,Mwembeshi,Ward,"68,878",
765,Ngwerere,Ward,"66,205",
766,Nkoloma,Ward,"75,082",
767,Raphael Chota,Ward,"95,041",
768,Roma,Ward,"66,491",
769,Silwizya,Ward,"6,614",
770,Luwingu,District,"122,136",
771,Bwalinde,Ward,"9,987",
772,Chifwile,Ward,"4,642",
