,Name,Status,PopulationCensus2012-08-15,PopulationCensus2022-08-15,Unnamed: 4
333,Kanyinya,Sector,21859,31026,→
334,Kigali,Sector,30023,61499,→
335,Kimisagara,Sector,46753,56534,→
336,Mageragere,Sector,23407,59747,→
337,Muhima,Sector,29768,22531,→
338,Nyakabanda,Sector,25666,29580,→
339,Nyamirambo,Sector,40292,55315,→
340,Nyarugenge,Sector,21302,16665,→
341,Rwezamenyo,Sector,16763,14754,→
342,Nyaruguru,District,294334,318126,→
343,Busanze,Sector,27190,29795,→
344,Cyahinda,Sector,21377,24929,→
345,Kibeho,Sector,21456,25885,→
346,Kivu,Sector,17719,19812,→
347,Mata,Sector,13900,16117,→
348,Muganza,Sector,19208,21383,→
349,Munini,Sector,15994,19760,→
350,Ngera,Sector,22440,24242,→
351,Ngoma,Sector,22950,24358,→
352,Nyabimata,Sector,16953,18843,→
353,Nyagisozi,Sector,18275,19674,→
354,Ruheru,Sector,35599,27712,→
355,Ruramba,Sector,17126,18705,→
356,Rusenge,Sector,24147,26911,→
357,Rubavu,District,403662,546683,→
358,Bugeshi,Sector,29687,33892,→
359,Busasamana,Sector,31253,40542,→
360,Cyanzarwe,Sector,29615,38977,→
361,Gisenyi,Sector,53603,51594,→
362,Kanama,Sector,29220,37584,→
363,Kanzenze,Sector,21309,23127,→
364,Mudende,Sector,26031,32077,→
365,Nyakiriba,Sector,30068,50834,→
366,Nyamyumba,Sector,37491,48718,→
367,Nyundo,Sector,30417,42305,→
368,Rubavu,Sector,42394,80107,→
369,Rugerero,Sector,42574,66926,→
370,Ruhango,District,319885,359121,→
371,Bweramana,Sector,29095,31152,→
372,Byimana,Sector,33903,40046,→
373,Kabagali,Sector,23855,25602,→
374,Kinazi,Sector,43658,51016,→
375,Kinihira,Sector,24960,25932,→
376,Mbuye,Sector,41004,45747,→
377,Mwendo,Sector,25965,25908,→
378,Ntongwe,Sector,31745,38100,→
379,Ruhango,Sector,65700,75618,→
380,Rulindo,District,287681,360144,→
381,Base,Sector,17341,20528,→
382,Burega,Sector,12730,13893,→
383,Bushoki,Sector,19970,23570,→
384,Buyoga,Sector,22171,24721,→
385,Cyinzuzi,Sector,13662,15768,→
386,Cyungo,Sector,13489,15350,→
387,Kinihira,Sector,15344,17145,→
388,Kisaro,Sector,19868,23113,→
389,Masoro,Sector,20733,27311,→
390,Mbogo,Sector,16795,19101,→
391,Murambi,Sector,17892,27283,→
392,Ngoma,Sector,10881,12703,→
393,Ntarabana,Sector,18065,24748,→
394,Rukozo,Sector,15023,17021,→
395,Rusiga,Sector,10888,13452,→
396,Shyorongi,Sector,23545,43744,→
397,Tumba,Sector,19284,20693,→
398,Rusizi,District,400858,485529,→
399,Bugarama,Sector,30169,42830,→
400,Butare,Sector,19937,25483,→
401,Bweyeye,Sector,13622,18109,→
402,Gashonga,Sector,23001,26791,→
403,Giheke,Sector,19359,20740,→
404,Gihundwe,Sector,27386,41615,→
405,Gikundamvura,Sector,18226,21909,→
406,Gitambi,Sector,23468,25119,→
407,Kamembe,Sector,26693,34883,→
408,Muganza,Sector,27344,32849,→
409,Mururu,Sector,24204,29774,→
410,Nkanka,Sector,18438,19857,→
411,Nkombo,Sector,16712,18637,→
412,Nkungu,Sector,20697,21696,→
413,Nyakabuye,Sector,29425,33200,→
414,Nyakarenzo,Sector,15566,18384,→
415,Nzahaha,Sector,27714,30399,→
416,Rwimbogo,Sector,18897,23254,→
417,Rutsiro,District,324654,369180,→
418,Boneza,Sector,24166,29206,→
419,Gihango,Sector,23166,27481,→
420,Kigeyo,Sector,24486,24308,→
421,Kivumu,Sector,32961,35027,→
422,Manihira,Sector,16098,19386,→
423,Mukura,Sector,33440,38627,→
424,Murunda,Sector,18478,23401,→
425,Musasa,Sector,22805,25716,→
426,Mushonyi,Sector,24038,24085,→
427,Mushubati,Sector,25822,31539,→
428,Nyabirasi,Sector,28971,33304,→
429,Ruhango,Sector,28589,30452,→
430,Rusebeya,Sector,21634,26648,→
431,Rwamagana,District,313461,484953,→
432,Fumbwe,Sector,21682,33074,→
433,Gahengeri,Sector,23517,35732,→
434,Gishali,Sector,23033,36692,→
435,Karenge,Sector,22755,28525,→
436,Kigabiro,Sector,32730,47358,→
437,Muhazi,Sector,29505,53482,→
438,Munyaga,Sector,16207,20812,→
439,Munyiginya,Sector,16980,24197,→
440,Musha,Sector,21145,27525,→
441,Muyumbu,Sector,24242,56881,→
442,Mwulire,Sector,21829,33936,→
443,Nyakaliro,Sector,20196,37538,→
444,Nzige,Sector,15504,19285,→
445,Rubona,Sector,24136,29916,→
446,Rwanda,Republic,10515973,13246394,
